Id	Entry	Left	Right	LeftStoich	RightStoich	Name
3699443	rxn26736	3652567 3652561 3654388 3652677	3652556 3664543 3652633 3652565	3.0 3.0 1.0 2.0	4.0 1.0 1.0 3.0	RXN3O-130.r
3699445	rxn00127	3652677 3652584	3653862 3652575	1.0 1.0	1.0 1.0	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]
3699447	rxn02788	3654972	3655728	1.0	1.0	R03966
3699449	rxn26737	3652561 3652677 3654388 3652567	3652633 3652556 3652565 3664543	3.0 2.0 1.0 3.0	1.0 4.0 3.0 1.0	RXN3O-130.w
3699451	rxn26738	3652677 3653534 3652567 3652561	3652556 3665479 3652565	1.0 1.0 1.0 1.0	1.0 1.0 1.0	dihydrospingosine C-4 hydroxylase
3699453	rxn00129	3652584	3652817 3655273	1.0	1.0 1.0	S-Adenosyl-L-methionine alkyltransferase (cyclizing)
3699454	rxn26739	3680531 3665479	3652677 3690562	1.0 1.0	3.0 1.0	ceramide synthase
3699456	rxn12100	3673236	3673242 3652677	1.0	1.0 2.0	R08454
3699458	rxn12101	3652584 3673242	3652677 3652587 3673244	1.0 1.0	1.0 1.0 1.0	R08455
3699460	rxn12102	3657954	3658328	1.0	1.0	R08456
3699462	rxn12103	3658328	3658356	1.0	1.0	R08457
3699464	rxn12104	3657133 3657103	3659461	1.0 1.0	1.0	R08458
3699466	rxn12105	3657103	3662118	2.0	1.0	R08459
3699468	rxn38719	3652567 3691267	3669668 3652556	1.0 4.0	2.0 2.0	THIOL-OXIDASE-RXN.e
3699470	rxn12106	3654707	3661958 3652677	1.0	1.0 2.0	R08460
3699472	rxn38718	3653790 3652677 3652557	3652568 3652652	1.0 1.0 1.0	1.0 1.0	THI-P-KIN-RXN.d
3699474	rxn12107	3653463	3673170	1.0	1.0	vanillylamine:succinate-semialdehyde aminotransferase
3699475	rxn38717	3652692	3652892 3689406	2.0	1.0 1.0	SUCROSE-1F-FRUCTOSYLTRANSFERASE-RXN.e
3699477	rxn36188	3652565 3652677 3675628	3652561 3664460	1.0 1.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699478	rxn36189	3652677 3652558 3675628	3664460 3652560	1.0 1.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699479	rxn36186	3686142 3652677 3652565	3652561 3664460	1.0 3.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699480	rxn36187	3652558 3686142 3652677	3664460 3652560	1.0 1.0 3.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699481	rxn36184	3652565 3686140 3652677	3664460 3652561	1.0 1.0 3.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699482	rxn36185	3686140 3652677 3652558	3664460 3652560	1.0 3.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699483	rxn36182	3686138 3652677 3652565	3664460 3652561	1.0 3.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699484	rxn36183	3652558 3686138 3652677	3664460 3652560	1.0 1.0 3.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699485	rxn36191	3652558 3664465 3652677	3664460 3652560	1.0 1.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699486	rxn36192	3662353 3652565 3652677	3664460 3652561	1.0 1.0 3.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699487	rxn36190	3664465 3652565 3652677	3664460 3652561	1.0 1.0 1.0	1.0 1.0	alcohol dehydrogenase [NAD(P)+]
3699137	rxn24129	3680475 3675525 3652677	3652575 3688736 3653449	1.0 1.0 1.0	1.0 1.0 1.0	RXN-6081.c
3699139	rxn12140	3673272	3673261	1.0	1.0	R08497
3699141	rxn24126	3684802 3690068 3652556	3652677 3652791 3690072	1.0 1.0 1.0	2.0 1.0 1.0	RXN-6002.c
3699143	rxn12141	3652677 3673272	3673259	3.0 1.0	1.0	R08498
3699145	rxn24125	3679616	3679588	1.0	1.0	RXN-6.c
3699147	rxn12142	3654217	3657871	1.0	1.0	rxn12142
3699148	rxn24124	3652567 3652561 3660611 3652677	3660627 3652556 3652565	1.0 1.0 1.0 1.0	1.0 1.0 1.0	zeinoxanthin epsilon-monooxygenase
3699150	rxn12143	3654515	3662270	1.0	1.0	R08500
3699152	rxn24123	3652677 3652567 3652561 3657298	3660611 3652565 3652556	1.0 1.0 1.0 1.0	1.0 1.0 1.0	RXN-5961.c
3699154	rxn12144	3654217	3662540	1.0	1.0	R08501
3699156	rxn24122	3688514 3690072 3652567 3652677	3684802 3653283 3690068 3652556	1.0 1.0 1.0 1.0	1.0 1.0 1.0 1.0	RXN-5921.c
3699158	rxn12145	3654217	3662444	1.0	1.0	R08502
3699160	rxn24121	3652556 3684799	3652575 3653435 3652677	3.0 1.0	1.0 1.0 9.0	RXN-5882.c
3699162	rxn12146	3673273	3658766	1.0	1.0	5-Deoxy-glucuranate isomerase
3699165	rxn24120	3655069 3652677	3652575 3684799	1.0 1.0	1.0 1.0	RXN-5881.c
3699167	rxn12147	3656383 3652556	3673273 3652677	1.0 1.0	1.0 1.0	3D-(3,5/4)-Trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
3699170	rxn12148	3652840	3658106	1.0	1.0	rxn12148
3699171	rxn12149	3658106	3663712	1.0	1.0	R08506
3699173	rxn38727	3692290	3692290	1.0	1.0	TRANS-RXNBWI-115401.cm
3699175	rxn38726	3656821	3656821	1.0	1.0	2-methyl-4-amino-5-hydroxymethylpyrimidine transport (Plasma membrane)
3699177	rxn38725	3652652	3652652	1.0	1.0	thiamin diphosphate transport (Plasma membrane)
3699179	rxn38724	3652916 3652677	3652916 3652677	1.0 1.0	1.0 1.0	TRANS-RXN-3.cd
3699181	rxn02770	3652558 3654923	3652677 3652560 3655329	1.0 1.0	1.0 1.0 1.0	L-Rhamnofuranose:NAD+ 1-oxidoreductase
3699182	rxn38723	3652556 3652557 3652655	3652655 3652677 3652568 3652570	1.0 1.0 1.0	1.0 1.0 1.0 1.0	TRANS-RXN-178.ce
3699184	rxn02771	3652584 3654928	3652587 3657998 3652677	1.0 1.0	1.0 1.0 1.0	R03943
3699186	rxn38722	3652677 3690978 3652565	3652561 3690269	1.0 1.0 1.0	1.0 1.0	THIOREDOXIN-REDUCT-NADPH-RXN.e
3699188	rxn38721	3652677 3652565 3690978	3690269 3652561	1.0 1.0 1.0	1.0 1.0	THIOREDOXIN-REDUCT-NADPH-RXN.d
3699190	rxn26740	3690562	3680615	1.0	1.0	RXN3O-4042.c
3699192	rxn38720	3691267 3652567	3669668 3652556	4.0 1.0	2.0 2.0	THIOL-OXIDASE-RXN.n
3699194	rxn00111	3652567 3652561 3657866	3652565 3652578 3652640	1.0 1.0 1.0	1.0 1.0 1.0	Nitrogenous compounds,NADPH:oxygen oxidoreductase (3-hydroxylating,
3699195	rxn02774	3652558 3654940	3657599 3652677 3652560	1.0 1.0	1.0 2.0 1.0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase
3699196	rxn26741	3688736 3670959	3657031 3680475	1.0 1.0	1.0 1.0	RXN3O-4110.c
3699198	rxn00110	3652560 3657866 3652567	3652558 3652578 3652640	1.0 1.0 1.0	1.0 1.0 1.0	Nitrogenous compounds,NADH:oxygen oxidoreductase (3-hydroxylating,
3699199	rxn02775	3652584 3654940	3652587 3657588 3652677	1.0 1.0	1.0 1.0 1.0	S-adenosyl-L-methionine:precorrin-4 C20-methyltransferase
3699200	rxn26742	3670959 3688736	3657031 3680475	1.0 1.0	1.0 1.0	RXN3O-4110.r
3699202	rxn00113	3652575 3652578 3652556 3652557	3652677 3652568 3652816 3652570	1.0 1.0 1.0 2.0	3.0 2.0 1.0 1.0	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)
3699203	rxn02772	3652558 3654933	3655029 3652560 3652677	1.0 1.0	1.0 1.0 1.0	Perillyl-alcohol:NAD+ oxidoreductase
3699204	rxn26743	3657845 3652558	3655981 3652677 3652560	1.0 1.0	1.0 1.0 1.0	RXN3O-4113.m
3699206	rxn00112	3652677 3652578 3652567	3652556 3652847	1.0 1.0 1.0	1.0 1.0	rxn00112
3699207	rxn02773	3652628 3654934	3655041 3652629 3652677	1.0 1.0	1.0 1.0 1.0	3'-Phosphoadenylylsulfate:phenolic-steroid sulfotransferase
3699208	rxn26744	3652684	3653172	2.0	1.0	RXN3O-470.c
3699210	rxn00115	3652578 3652575	3652823	1.0 1.0	1.0	R00152
3699212	rxn02778	3654941 3652593	3652591 3656023	1.0 1.0	1.0 1.0	L-3,5,3'-Triiodothyronine:2-oxoglutarate aminotransferase
3699213	rxn26745	3652684	3653172	2.0	1.0	RXN3O-470.n
3699215	rxn00114	3652575 3652557 3652578	3652816 3652677 3652568	1.0 1.0 1.0	1.0 2.0 1.0	ATP:carbamate phosphotransferase
3699216	rxn02779	3652596 3653770 3654984	3652556 3654941 3654788	1.0 1.0 1.0	2.0 1.0 1.0	R03953
3699218	rxn26746	3665479 3652570	3690391 3652556	1.0 1.0	1.0 1.0	phytospingosine-1-P phosphatase
3699220	rxn00117	3652580 3652557	3652568 3652666	1.0 1.0	1.0 1.0	ATP:UDP phosphotransferase
3699222	rxn02776	3652677 3654947 3652584	3657599 3652587	2.0 1.0 2.0	1.0 2.0	S-Adenosyl-L-methionine:uroporphyrin-III C-methyltransferase
3699223	rxn26747	3666249 3652677 3652567 3652561	3652565 3652556 3657116	1.0 1.0 1.0 1.0	1.0 1.0 1.0	RXN3O-58.c
3699225	rxn00116	3652580 3652556	3652570 3652722 3652677	1.0 1.0	1.0 1.0 2.0	UDP phosphohydrolase
3699227	rxn02777	3654940 3652973	3657597	1.0 1.0	1.0	R03951
3699229	rxn26748	3689397 3680615	3689375	1.0 1.0	1.0	inositol phosphoceramide synthase
3699231	rxn00119	3652722 3652677 3652557	3652580 3652568	1.0 1.0 1.0	1.0 1.0	ATP:UMP phosphotransferase
3699235	rxn26749	3652706 3689375	3689697 3652606	1.0 1.0	1.0 1.0	inositol phosphorylceramide mannosyltransferase
3699237	rxn00118	3652666 3652677 3652585	3652568 3652580	1.0 1.0 1.0	1.0 1.0	Uridine triphosphate:AMP phosphotransferase
3699238	rxn38729	3685041	3685041	1.0	1.0	TRANS-RXNBWI-115401.cm.maizeexp.CPD-7046_CPD-7046
3699240	rxn38728	3652737	3652737	1.0	1.0	TRANS-RXNBWI-115401.cm.maizeexp.CL-_CL-
3699242	rxn38738	3692393	3692393	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.CPD-13038_CPD-13038
3699244	rxn38737	3654783	3654783	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.CPD-12601_CPD-12601
3699246	rxn38736	3657009	3657009	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.CPD-12557_CPD-12557
3699248	rxn38735	3695133	3695133	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.BETA-D-FRUCTOSE_BETA-D-FRUCTOSE
3699250	rxn38734	3653673	3653673	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.ALPHA-D-GALACTOSE_ALPHA-D-GALACTOSE
3699252	rxn02760	3652556 3655042	3652697 3652705	1.0 1.0	1.0 1.0	Sucrose 6-phosphate fructohydrolase
3699253	rxn38733	3691259	3691259	1.0	1.0	TRANS-RXNBWI-115506.cd
3699255	rxn26750	3652677 3689397 3689697	3689694 3652556	1.0 1.0 1.0	1.0 1.0	RXN3O-680.c
3699257	rxn38732	3654161	3654161	1.0	1.0	TRANS-RXNBWI-115486.ce.maizeexp.CYS-GLY_CYS-GLY
3699259	rxn26751	3652567 3688736 3679612	3680475 3652556 3679611	1.0 1.0 1.0	1.0 1.0 1.0	RXN3O-75.c
3699261	rxn38731	3653584	3653584	1.0	1.0	TRANS-RXNBWI-115429.cm
3699263	rxn00100	3652557 3653580	3652677 3652568 3652574	1.0 1.0	1.0 1.0 1.0	ATP:dephospho-CoA 3'-phosphotransferase
3699265	rxn02763	3654893 3652565	3655189 3652561 3652677	1.0 1.0	1.0 1.0 1.0	3-methyloxindole:NADP+ oxidoreductase
3699266	rxn26752	3691456 3691292	3652580 3687976	1.0 1.0	1.0 1.0	RXN490-3608.c
3699268	rxn38730	3653005	3653005	1.0	1.0	TRANS-RXNBWI-115401.cm.maizeexp.S2O3_S2O3
3699270	rxn02764	3652557 3652574 3654896	3652577 3652585 3658160	1.0 1.0 1.0	1.0 1.0 1.0	4-chlorobenzoate:CoA ligase
3699271	rxn26753	3652622 3652557 3680464	3689539 3652585 3652577	1.0 1.0 1.0	1.0 1.0 1.0	Aspartate--tRNA ligase
3699274	rxn00102	3652677 3652968	3652556 3652575	1.0 1.0	1.0 1.0	carbonate hydro-lyase (carbon-dioxide-forming)
3699275	rxn02761	3654257	3654878	1.0	1.0	(S)(+)-Allantoin racemase
3699276	rxn26754	3690581 3690317 3669143	3690295 3691026	1.0 1.0 1.0	1.0 1.0	plastocyanin:ferredoxin oxidoreductase (light-dependent)
3699277	rxn00101	3652556 3652686 3652677	3652578 3652575	1.0 1.0 2.0	2.0 1.0	Urea amidohydrolase
3699279	rxn02762	3654883 3652556	3652677 3657643	1.0 1.0	1.0 1.0	2',3'-Cyclic CMP 3'-nucleotidohydrolase
3699281	rxn26755	3669143 3690581 3690317	3691026 3690295	1.0 1.0 1.0	1.0 1.0	plastocyanin:ferredoxin oxidoreductase (light-dependent)
3699282	rxn00104	3652677 3652577 3652557	3652568 3653255	1.0 1.0 1.0	1.0 1.0	polyphosphate kinase
3699284	rxn02767	3655114 3652556	3657503 3652612 3652677	1.0 1.0	1.0 1.0 1.0	Formylkynurenine hydrolase
3699285	rxn26756	3655758 3688471	3684599 3652677 3652631	1.0 1.0	1.0 1.0 1.0	RXN4FS-1.c
3699287	rxn00103	3652633 3652565	3652561 3652575	1.0 1.0	1.0 1.0	formate:NADP+ oxidoreductase
3699288	rxn02768	3654914 3652556	3655385	1.0 1.0	1.0	R03937
3699290	rxn26757	3671088	3652677 3653743	1.0	2.0 1.0	RXN4FS-10.c
3699292	rxn00106	3652556 3653255	3652577 3652677 3652570	1.0 1.0	1.0 2.0 1.0	Triphosphate phosphohydrolase
3699293	rxn02765	3652584 3654905	3654907 3652677 3652587	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine:6-hydroxymellein 6-O-methyltransferase
3699294	rxn26758	3653743	3652677 3652659	1.0	3.0 1.0	RXN4FS-11.c
3699296	rxn00105	3652557 3653163	3652577 3652558	1.0 1.0	1.0 1.0	ATP:nicotinamide-nucleotide adenylyltransferase
3699297	rxn02766	3657222 3652556	3652710 3652644	1.0 1.0	1.0 1.0	beta-Alanyl-L-arginine hydrolase
3699298	rxn26759	3653340 3654834	3652706 3688019	1.0 1.0	1.0 1.0	RXN4FS-12.c
3699300	rxn00108	3652568 3663996	3652557 3652677 3656145	1.0 1.0	1.0 1.0 1.0	ATP:5-hydroxymethyldeoxycytidylate phosphotransferase
3699301	rxn00107	3663996 3652557	3663999 3652568	1.0 1.0	1.0 1.0	ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase
3699302	rxn02769	3652557 3654917 3652556	3655457 3652568 3652677	1.0 1.0 1.0	1.0 1.0 3.0	ATP:hypotaurocyamine N-phosphotransferase
3699303	rxn00109	3652578 3652556 3652558	3652847 3652677 3652560	1.0 1.0 1.0	1.0 2.0 1.0	ammonia:NAD+ oxidoreductase
3699304	rxn38739	3654224	3654224	1.0	1.0	TRANS-RXNBWI-115506.cd.maizeexp.CPD-369_CPD-369
3699306	rxn12119	3673247	3673253	1.0	1.0	R08474
3699308	rxn38705	3665690 3652556	3652766 3653509 3652677	1.0 1.0	1.0 1.0 1.0	RXNQT-4366.v
3699310	rxn38704	3652556 3665690	3653509 3652677 3652766	1.0 1.0	1.0 1.0 1.0	RXNQT-4366.e
3699312	rxn38703	3652558 3652708 3652608	3652801 3688021	1.0 1.0 1.0	1.0 1.0	RXNQT-4300.d
3699314	rxn38702	3655111 3652556	3652578 3653640	1.0 1.0	1.0 1.0	indole acetamide hydrolase
3699316	rxn02792	3654981 3652677 3652591	3657916 3652575 3652556	1.0 1.0 1.0	1.0 1.0 1.0	gamma-glutamyltranspeptidase family protein
3699318	rxn38701	3655111 3652556	3652578 3653640	1.0 1.0	1.0 1.0	indole acetamide hydrolase
3699319	rxn02793	3652677 3654981	3655589	5.0 1.0	1.0	rxn02793
3699320	rxn38700	3652618 3653075	3652606 3652652	1.0 1.0	1.0 1.0	Thiamin pyrophosphokinase
3699322	rxn00131	3652556 3652585	3652788 3652739	1.0 1.0	1.0 1.0	AMP phosphoribohydrolase
3699323	rxn02790	3655915 3652556	3654980 3652570 3652677	1.0 1.0	1.0 1.0 1.0	3-(ADP)-2-phosphoglycerate phosphohydrolase
3699324	rxn00130	3652585 3652556 3652677	3652578 3652763	1.0 1.0 1.0	1.0 1.0	AMP aminohydrolase
3699326	rxn02791	3654981 3652591	3652556 3657572	1.0 1.0	1.0 1.0	(5-Glutamyl)-peptide:amino-acid 5-glutamyltransferase
3699327	rxn00133	3654016 3652556	3652557 3652677 3652585	1.0 1.0	1.0 1.0 1.0	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase
3698784	rxn02748	3653372 3652677	3654795 3652575	1.0 1.0	1.0 1.0	(3S)-3-Methyl-2-oxopentanoate carboxy-lyase
3698786	rxn02712	3652565 3652556 3657101	3654708 3652567 3652561 3652677	1.0 2.0 1.0	1.0 1.0 1.0 1.0	(S)-scoulerine, NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)
3698787	rxn02713	3654708 3652584	3652587 3652677 3656253	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine:(S)-scoclaurine 9-O-methyltransferase
3698788	rxn02710	3652567 3654707	3652596 3654708	1.0 1.0	1.0 1.0	(S)-Reticuline:oxygen oxidoreductase (methylene-bridge-forming)
3698789	rxn02711	3657120 3652584	3652587 3654707 3652677	1.0 1.0	1.0 1.0 1.0	S-Adenosyl-L-methionine:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase
3698790	rxn02716	3652565 3654733	3655240 3652561 3652677	1.0 1.0	1.0 1.0 1.0	Chlorophyllide-a:NADP+ 7,8-oxidoreductase
