Id	Entry	Left	Right	LeftStoich	RightStoich
1618952	GLYt4r	1322030 1323379	1323379 1322030	1.0 1.0	1.0 1.0
1618954	TDCHOLAte	1324249	1324249	1.0	1.0
1618955	SERt2r	1322144 1324134	1324134 1322144	1.0 1.0	1.0 1.0
1618957	UDCPDP	1324497 1322152	1323814 1324498 1322144	1.0 1.0	1.0 1.0 1.0
1618959	NNDPRm	1322144 1323926 1324018	1323406 1323857 1320968	2.0 1.0 1.0	1.0 1.0 1.0
1618961	SELCYSS	1324137 1324131	1322144 1324122 1323814	1.0 1.0	1.0 1.0 1.0
1618963	XTSNt2	1324612 1322144	1324612 1322144	1.0 1.0	1.0 1.0
1618965	AGM4PCPpp	1320591 1322152	1320547 1320588	1.0 1.0	1.0 1.0
1618967	XTSNH	1322152 1324612	1324063 1324581	1.0 1.0	1.0 1.0
1618969	TMNDNCCPT2	1324364 1320970	1321034 1324362	1.0 1.0	1.0 1.0
1618971	TSTSTERONEtr	1324422	1324422	1.0	1.0
1618973	TMNDNCCPT1	1321034 1324362	1324364 1320970	1.0 1.0	1.0 1.0
1618975	GLNt2r	1322144 1322006	1322144 1322006	1.0 1.0	1.0 1.0
1618977	SERt2m	1322144 1324134	1324134 1322144	1.0 1.0	1.0 1.0
1618979	GLNt2n	1322144 1322006	1322006 1322144	1.0 1.0	1.0 1.0
1618981	GLCt2r	1321992 1322144	1322144 1321992	1.0 1.0	1.0 1.0
1618983	STS4	1322152 1323905	1324158 1323904 1322144	1.0 1.0	1.0 1.0 1.0
1618985	STS3	1320902 1322152	1324158 1322144 1320901	1.0 1.0	1.0 1.0 1.0
1618986	BDH	1323383 1320726	1322144 1320358 1323384	1.0 1.0	1.0 1.0 1.0
1618988	STS2	1321599 1322152	1324158 1322144 1321597	1.0 1.0	1.0 1.0 1.0
1618993	GLNtm	1322006	1322006	1.0	1.0
1618995	H2Ot	1322152	1322152	1.0	1.0
1618997	CLPNDCOAtx	1320950	1320950	1.0	1.0
1618999	DXPRIi	1323387 1322144 1321529	1323386 1319706	1.0 1.0 1.0	1.0 1.0
1619001	DOLICHOL_Uter	1321455	1321455	0.1	0.1
1619003	FACOAL120p	1321242 1320710 1320970	1323857 1320579 1321248	1.0 1.0 1.0	1.0 1.0 1.0
1619005	LPLIPAL1E180pp	1319515 1322152	1321859 1322144 1323472	1.0 1.0	1.0 1.0 1.0
1619007	DHAD1m	1319581	1322152 1319926	1.0	1.0 1.0
1619009	SCPx	1320970 1320892	1323845 1320890	1.0 1.0	1.0 1.0
1619013	GLCt1r	1321992	1321992	1.0	1.0
1619015	4HPRO-LTtm	1320022	1320022	1.0	1.0
1619017	SUCOAS1m	1324194 1322138 1320970	1324195 1323814 1321958	1.0 1.0 1.0	1.0 1.0 1.0
1619019	PA_HSter	1323568	1323568	1.0	1.0
1619021	MDDEP2pp	1323308 1322152	1323311	1.0 1.0	1.0
1619023	LTC4CP	1322852 1322152	1322030 1322855	1.0 1.0	1.0 1.0
1619025	MANpts	1323065 1323671	1324007 1323067	1.0 1.0	1.0 1.0
1619027	DHFR	1323387 1322144 1321358	1324308 1323386	1.0 1.0 1.0	1.0 1.0
1619029	PE160abcpp	1322152 1323642 1320710	1323642 1320478 1323814 1322144	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619031	DHFS	1322012 1320710 1321374	1322144 1323814 1321358 1320478	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619033	PROt4(2)r	1323379 1323914	1323914 1323379	2.0 1.0	1.0 2.0
1619035	3M4HDXPAC	1319929 1322152 1323383	1322247 1323384 1322144	1.0 1.0 1.0	1.0 1.0 2.0
1619037	ALCD2if	1323383 1321607	1322144 1320359 1323384	1.0 1.0	1.0 1.0 1.0
1619039	ASNabcpp	1322152 1320699 1320710	1323814 1322144 1320478 1320699	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619041	STS1	1321357 1322152	1321356 1324158 1322144	1.0 1.0	1.0 1.0 1.0
1619042	1a,25VITD2Hm	1319492 1323455 1322144 1323387	1319488 1322152 1323386	1.0 1.0 1.0 1.0	1.0 1.0 1.0
1619044	ORNtiDF	1323520	1323520	1.0	1.0
1619046	ALCD2ir	1322144 1320359 1323384	1321607 1323383	1.0 1.0 1.0	1.0 1.0
1619048	B_MANNASEly	1322152 1323255	1320381 1323065	1.0 1.0	1.0 1.0
1619055	DHAD2m	1319582	1319927 1322152	1.0	1.0 1.0
1619057	ACHBS	1322144 1324007 1319711	1320968 1319634	1.0 1.0 1.0	1.0 1.0
1619059	CRNDCAL2	1320710 1321035 1320970	1321036 1323814 1320478	1.0 1.0 1.0	1.0 1.0 1.0
1619062	S4T4g	1323610 1321093	1321156 1322144 1323609	2.0 1.0	1.0 2.0 2.0
1619065	NACHEXA3ly	1322152 1321091	1322144 1321097 1324158 1320369	2.0 1.0	1.0 1.0 1.0 1.0
1619067	5HTRPDOX	1323455 1320094	1320093	1.0 1.0	1.0
1619070	ALPATG160pp	1320570 1323696	1322912 1319626	1.0 1.0	1.0 1.0
1619072	MTHFR3 [deleted 07/26/2004  02:34:26 PM]	1323221 1322144 1323387	1320103 1323386	1.0 1.0 1.0	1.0 1.0
1619074	SSALxm	1324203 1323383 1322152	1322144 1323384 1324194	1.0 1.0 1.0	2.0 1.0 1.0
1619076	OCOAT1m	1320358 1324195	1320351 1324194	1.0 1.0	1.0 1.0
1619078	OCOAT1r	1320358 1324195	1324194 1320351	1.0 1.0	1.0 1.0
1619080	B3GNT311g	1320371 1324508	1321882 1322144 1324499	1.0 1.0	1.0 1.0 1.0
1619091	CLPNS181pp	1323707	1322033 1320933	2.0	1.0 1.0
1619093	OAGD3tg	1323458	1323458	1.0	1.0
1619095	OAGD3te	1323458	1323458	1.0	1.0
1619097	PLIPA2G160pp	1323696 1322152	1322144 1322184 1319527	1.0 1.0	1.0 1.0 1.0
1619099	LGTHL	1323299 1322137	1322864	1.0 1.0	1.0
1619102	S4T3g	1321162 1323610	1323609 1322144 1321164	1.0 1.0	1.0 1.0 1.0
1619103	TRSARr	1319678 1322144 1323384	1322034 1323383	1.0 1.0 1.0	1.0 1.0
1619106	5HOXINOXDA	1323455 1322152 1324173	1322153 1320090 1323402	1.0 1.0 1.0	1.0 1.0 1.0
1619108	DOLPGT3_Ler	1321445 1321842	1322144 1321466 1321851	0.1 0.1	1.0 0.1 0.1
1619112	SSALyr	1323386 1322152 1324203	1324194 1322144 1323387	1.0 1.0 1.0	1.0 2.0 1.0
1619114	OPHBDC6	1319966 1322144	1319741 1320968	1.0 1.0	1.0 1.0
1619116	B3GNT310g	1324508 1320396	1322144 1324499 1321880	1.0 1.0	1.0 1.0 1.0
1619117	FORGLUIH	1322144 1322152 1321753	1320236 1323401	2.0 1.0 1.0	1.0 1.0
1619122	B3GNT313g	1320378 1324508	1321883 1322144 1324499	1.0 1.0	1.0 1.0 1.0
1619123	NS26T2g	1324095 1320961	1321487 1320958 1322144	1.0 1.0	1.0 1.0 1.0
1619125	PG141abcpp	1320710 1322152 1323693	1322144 1320478 1323693 1323814	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1619127	XYLUtex	1324621	1324621	1.0	1.0
1619129	H2St	1322154	1322154	1.0	1.0
1619131	SERt2rpp	1322144 1324134	1324134 1322144	1.0 1.0	1.0 1.0
1619133	S4T6g	1323610 1321086	1322144 1321088 1323609	1.0 1.0	1.0 1.0 1.0
1619134	LPLIPAL1A161pp	1322152 1319540	1322040 1322144 1322186	1.0 1.0	1.0 1.0 1.0
1619136	UMPK5	1324539 1321217	1321204 1324499	1.0 1.0	1.0 1.0
1619147	UMPK6	1324539 1321237	1321228 1324499	1.0 1.0	1.0 1.0
1619149	UMPK3	1324558 1324539	1324499	1.0 1.0	2.0
1619151	UMPK4	1322138 1324539	1324499 1321958	1.0 1.0	1.0 1.0
1619153	GPIMTer_L	1321460 1321871	1322144 1323144 1321466	0.1 1.0	1.0 1.0 0.1
1619155	UMPK7	1324539 1321326	1324499 1321307	1.0 1.0	1.0 1.0
1619157	6HNACMO	1323455 1323384 1320131 1322144	1323383 1322152 1321376 1320968	1.0 1.0 1.0 2.0	1.0 1.0 1.0 1.0
1619159	PLIPA2E120pp	1323636 1322152	1322144 1319502 1321242	1.0 1.0	1.0 1.0 1.0
1619161	24,25DHVITD3tm	1319587	1319587	1.0	1.0
1619163	FTHFLm	1324308 1320710 1321751	1323814 1320478 1319401	1.0 1.0 1.0	1.0 1.0 1.0
1619165	GLYCLTtex	1322042	1322042	1.0	1.0
1619167	GLYt2m	1322144 1322030	1322030 1322144	1.0 1.0	1.0 1.0
1620768	G5SDym	1322144 1323387 1322014	1323814 1322015 1323386	1.0 1.0 1.0	1.0 1.0 1.0
1620770	H4ET3er	1322975 1323661	1321573 1321205	1.0 1.0	1.0 1.0
1620772	G6Pt6_2	1323814 1321863	1323814 1321863	2.0 1.0	2.0 1.0
1620774	EAFLATOXINte	1321532	1321532	1.0	1.0
1620775	AM4PA	1322152 1320599	1320594 1320218	1.0 1.0	1.0 1.0
1620777	UDPGPpp	1322152 1324507	1322144 1324539 1321838	1.0 1.0	2.0 1.0 1.0
1620779	GLCabc	1322152 1321992 1320710	1322144 1320478 1323814 1321992	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1620781	UDPGALtg	1324539 1324508	1324539 1324508	1.0 1.0	1.0 1.0
1620783	RBFK	1320710 1324064	1321738 1322144 1320478	1.0 1.0	1.0 1.0 1.0
1620785	GALASE8ly	1322152 1322544	1321877 1322547	1.0 1.0	1.0 1.0
1620786	ORETNtn	1323518	1323518	1.0	1.0
1620788	biomass_SA_3a	1324564 1320710 1323816 1324539 1321215 1321992 1323127 1319450 1320323 1321929 1324319 1322845 1320381 1322076 1323724 1320935 1322030 1323785 1323914 1322000 1324243 1321231 1321321 1320958 1321517 1322429 1320579 1320699 1324445 1320382 1323822 1319603 1322220 1320689 1322006 1323650 1320706 1324134 1324416 1321194 1323598 1322012 1320548 1321300 1322152 1324494 1322932 1323712	1323814 1322144 1320478	4.12 20.0 0.01 2.39 0.76 0.38 1.94 0.42 0.01 0.23 2.54 5.21 0.38 4.01 0.01 2.51 3.51 3.33 2.12 5.3 2.86 0.53 0.6 2.2 0.73 4.06 3.11 4.48 2.3 1.22 0.15 1.27 1.45 3.88 8.72 0.89 4.48 2.6 1.27 0.79 0.01 9.68 6.6 0.012068 20.0 1.78 5.45 2.31	20.0 20.0 20.0
1620790	biomass_SA_3b	1322006 1322220 1323914 1320579 1320958 1322076 1321517 1324243 1324445 1320706 1323822 1322152 1323712 1323785 1321321 1322845 1323598 1323724 1322932 1324494 1320323 1320381 1323650 1321215 1324319 1323127 1320935 1322030 1320699 1324134 1321300 1324564 1321194 1323816 1324416 1320548 1320710 1321929 1322012 1319450 1319603 1321231 1320689 1322000 1320382 1321992 1322429 1324539	1323814 1322144 1320478	8.72 1.45 2.12 3.11 2.2 4.01 0.73 2.86 2.3 4.48 0.15 20000.0 2.31 3.33 0.6 5.21 0.01 0.01 5.45 1.78 0.01 0.38 0.89 0.76 2.54 1.94 2.51 3.51 4.48 2.6 0.012068 4.12 0.79 0.01 1.27 6.6 20000.0 0.23 9.68 0.42 1.27 0.53 3.88 5.3 1.22 0.38 4.06 2.39	20000.0 20000.0 20000.0
1620791	CDPGH	1322152 1320847	1319584 1322144	1.0 1.0	1.0 2.0
1620793	ECHH_1.0	1322144 1321691	1322144 1322145 1321687	3.0 2.0	1.0 1.0 2.0
1620795	AHXDH	1322152 1320120	1320119	1.0 1.0	2.0
1620797	ASPabc	1322152 1320706 1320710	1322144 1320478 1320706 1323814	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1620799	4HOXPACDtex	1320020	1320020	1.0	1.0
1620801	GPIDAer	1322152 1322093	1322144 1322184 1321322	1.0 1.0	1.0 1.0 1.0
1620803	UDPDPS	1322464 1321261	1323857 1324497	1.0 1.0	1.0 1.0
1620805	2AGPGAT140	1324431 1320710 1319622	1320579 1323857 1323691	1.0 1.0 1.0	1.0 1.0 1.0
1620807	LIPAHT2ex	1322184 1322144 1320976	1322167 1322152	1.0 1.0 1.0	1.0 1.0
1620809	CDPGS	1319584 1322144 1320710	1320478 1320847 1323814	1.0 1.0 1.0	1.0 1.0 1.0
1620811	S6TASE19ly	1322577 1322152	1322580 1324158 1322144	1.0 1.0	1.0 1.0 1.0
1620812	2AGPGAT141	1324433 1320710 1319624	1323693 1320579 1323857	1.0 1.0 1.0	1.0 1.0 1.0
1620814	GBEZ	1319480	1322152 1322043	1.0	1.0 1.0
1620816	DM_avite1(c)	1320713		1.0	
1620818	PPRDNDH	1323383 1323866 1322152	1322144 1320072 1323384	1.0 1.0 2.0	1.0 1.0 1.0
1620820	biomass_SA_4a	1320382 1321992 1323819 1324539 1320689 1320323 1322000 1322006 1322845 1320381 1321231 1322012 1323601 1320940 1323655 1321517 1323914 1320958 1320699 1322076 1320710 1323727 1322152 1322220 1324134 1323718 1323825 1320548 1321215 1322030 1321194 1319456 1322932 1321321 1321929 1323127 1324243 1324445 1319603 1322429 1324416 1321304 1320579 1324319 1320706 1324564 1323785 1324494	1320478 1322144 1323814	1.22 0.38 0.01 2.39 3.88 0.01 5.3 8.72 5.21 0.38 0.53 9.68 0.01 2.51 0.89 0.73 2.12 2.2 4.48 4.01 20000.0 0.01 20000.0 1.45 2.6 2.31 0.15 6.6 0.76 3.51 0.79 0.42 5.45 0.6 0.23 1.94 2.86 2.3 1.27 4.06 1.27 0.012068 3.11 2.54 4.48 4.12 3.33 1.78	20000.0 20000.0 20000.0
1620822	3MOPtm	1319927	1319927	1.0	1.0
1620824	NACHEXA1ly	1321049 1322152	1321064 1322144 1320369 1324158	1.0 2.0	1.0 1.0 1.0 1.0
1620825	ACPpds	1322152 1320157	1323607 1322144 1320637	1.0 1.0	1.0 1.0 1.0
1620827	AQCOBALt	1320657	1320657	1.0	1.0
1620829	CRNCDH	1321038	1321185 1322152	1.0	1.0 1.0
1620831	PLIPA1G161pp	1323701 1322152	1322144 1322186 1319628	1.0 1.0	1.0 1.0 1.0
1620833	FPGS	1322012 1320710 1324308	1320478 1322144 1320115 1323814	4.0 4.0 1.0	4.0 4.0 1.0 4.0
1620835	MIPCS126_SC	1322449 1321964	1321958 1323191 1322144	0.01 1.0	1.0 0.01 1.0
1620837	GMAND	1321964	1322152 1321959	1.0	1.0 1.0
1620839	ACNAMtn	1320422	1320422	1.0	1.0
1620841	ANHMK	1322152 1320594 1320710	1322144 1320478 1320411	1.0 1.0 1.0	1.0 1.0 1.0
1620843	NBAHH_ir	1320772 1322152	1320546 1322220	1.0 1.0	1.0 1.0
1620846	HPYRRy	1322269 1323387 1322144	1322034 1323386	1.0 1.0 1.0	1.0 1.0
1620848	2AGPGAT160	1319626 1322184 1320710	1323696 1320579 1323857	1.0 1.0 1.0	1.0 1.0 1.0
1620850	HPYRRx	1322144 1323384 1322269	1323383 1322034	1.0 1.0 1.0	1.0 1.0
1620852	2AGPGAT161	1320710 1322186 1319628	1323701 1323857 1320579	1.0 1.0 1.0	1.0 1.0 1.0
1620854	AGDC_r	1320383 1322152	1321930 1320354	1.0 1.0	1.0 1.0
1620856	BUTSO3abcpp	1322152 1320710 1320751	1322144 1320751 1320478 1323814	1.0 1.0 1.0	1.0 1.0 1.0 1.0
1620858	DGCHOLte	1321295	1321295	1.0	1.0
1620859	UMPK2	1321186 1324539	1320800 1324499	1.0 1.0	1.0 1.0
1620861	QUINtex	1324017	1324017	1.0	1.0
1620863	THMP	1324314 1322152	1324313 1323814	1.0 1.0	1.0 1.0
1620865	NADtn	1323383	1323383	1.0	1.0
1620867	S4T2g	1323610 1321058	1323609 1321173 1322144	1.0 1.0	1.0 1.0 1.0
1620868	ALOX15	1323455 1320676	1319481	1.0 1.0	1.0
1620872	DBTSr	1321216 1320710 1320968	1321509 1320478 1322144 1323814	1.0 1.0 1.0	1.0 1.0 3.0 1.0
1620874	4CMCOAS	1320710 1320970 1320337	1320579 1319998 1323857	1.0 1.0 1.0	1.0 1.0 1.0
1620894	ALOX12	1323455 1320676	1319429	1.0 1.0	1.0
1620898	GLCNACT_L	1323390 1324487	1320877 1324499 1322144	0.1 1.0	0.1 1.0 1.0
1620901	RIBtex	1324063	1324063	1.0	1.0
1620903	KAS20SA	1320361 1323387 1323055 1322144	1322152 1320970 1320968 1321664 1323386	1.0 18.0 9.0 26.0	8.0 10.0 9.0 1.0 18.0
1620905	DGCHOLtx	1321295	1321295	1.0	1.0
1620906	PRATPP	1322152 1323873	1323872 1322144 1323857	1.0 1.0	1.0 1.0 1.0
1620908	FORt2m	1321751	1321751	1.0	1.0
1620910	GLCNACT_U	1324487 1323393	1322144 1324499 1320881	1.0 0.1	1.0 1.0 0.1
1620912	DAGK_EC	1320710 1319450	1322144 1323557 1320478	1.0 0.02	1.0 0.02 1.0
1620914	P45011A1m	1320901 1323455 1323387 1322144	1320035 1322152 1323904 1323386	1.0 2.0 1.0 1.0	1.0 2.0 1.0 1.0
1620920	S4T1g	1321169 1323610	1321052 1322144 1323609	1.0 2.0	1.0 2.0 2.0
1620921	2AGPGAT180	1323472 1319630 1320710	1320579 1323704 1323857	1.0 1.0 1.0	1.0 1.0 1.0
1620923	UDPGLCAtg	1324539 1324510	1324510 1324539	1.0 1.0	1.0 1.0
1620925	2AGPGAT181	1323478 1320710 1319632	1320579 1323857 1323707	1.0 1.0 1.0	1.0 1.0 1.0
1620927	CRNCAR	1321038	1321036	1.0	1.0
1620929	CORE7GTg	1324506 1320343	1321001 1322144 1324499	1.0 1.0	1.0 1.0 1.0
1620938	pentso3abcpp	1322152 1320710 1323668	1322144 1323668 1323814 1320478	1.0 1.0 1.0	1.0 1.0 1.0 1.0
