Id	Entry	Left	Right	LeftStoich	RightStoich	Name
4140306	PSSA1_hs_16_0_18_0	4136297 4139386	4139036 4139654	-1.0 -1.0	1.0 1.0	PSSA1 hs 16 0 18 0
4140309	PSSA1_hs_16_0_18_2	4139388 4136297	4139038 4139654	-1.0 -1.0	1.0 1.0	PSSA1 hs 16 0 18 2
4140312	EX_glygly_e	4137460		-1.0		Exchange reaction for glycylglycine
4140314	TYRTAim	4134224 4137432	4140022 4134791	-1.0 -1.0	1.0 1.0	Tyrosine transaminase  irreversible  mitochondrial 
4140317	3AMPt6	4137584 4134238	4134238 4137584	-1.0 -1.0	1.0 1.0	3  AMP transport inout via proton symport
4140319	XTSNH	4140212 4137590	4139534 4140186	-1.0 -1.0	1.0 1.0	Xanthosine hydrolase
4140376	ALDD19x_P	4138880 4137590 4138674	4137584 4138675 4138879	-1.0 -1.0 -1.0	2.0 1.0 1.0	ALDD19x P
4140379	RE3536C	4136123 4137584 4138675	4136127 4138674	-1.0 -1.0 -1.0	1.0 1.0	RE3536
4140381	CYTB_B3	4137584 4138749 4138596	4137590 4138599 4137584	-4.0 -0.5 -1.0	1.0 1.0 4.0	Menauinol oxidase  72 protons 
4140383	CYTB_B2	4138596 4138749 4137584	4137590 4138599 4137584	-1.0 -0.5 -2.0	1.0 1.0 2.0	Menaquinol oxidase  71 protons 
4140385	LPS_YPhexa	4140121 4134742 4140120 4137994 4134741 4140051	4138272 4140117 4137584 4134734	-1.0 -3.0 -1.0 -1.0 -1.0 -1.0	1.0 3.0 7.0 4.0	Hexa-acyl LPS biosynthesis
4140388	DHBSZ3tex	4134051	4134051	-1.0	1.0	23dhbsz secretion
4140391	CEPTE_18_2_18_1	4135302 4136555	4137584 4136349 4139119	-1.0 -1.0	1.0 1.0 1.0	Ethanolamine phosphotransferase (C18:2,C18:1)
4140395	SERt2m	4137584 4139654	4139654 4137584	-1.0 -1.0	1.0 1.0	Serine mitochondrial transport via proton symport
4140397	CEPTE_18_2_18_2	4136556 4135302	4137584 4136349 4139120	-1.0 -1.0	1.0 1.0 1.0	CEPTE 18 2 18 2
4140400	IND3ETHt	4137929	4137929	-1.0	1.0	Tryptophol transport  extracellular
4140403	FUCASE	4137590 4139565	4137209 4139567	-1.0 -1.0	1.0 1.0	Alpha-fucosidase, cytosol
4140406	DOLMANP_ter	4136864	4136864	-1.0	1.0	Dolichol-phosphate mannose flippase (CHO)
4140408	EX_quin_e	4139466		-1.0		Quinate exchange
4140411	ARSt1	4134932	4134932	-1.0	1.0	Arsenite transporter via uniport
4140413	STS4	4139339 4137590	4139691 4137584 4139338	-1.0 -1.0	1.0 1.0 1.0	STS4
4140416	FUSAtpp	4137212 4137584	4137212 4137584	-1.0 -1.0	1.0 1.0	Fusidic acid transport via TolC system
4140419	STS3	4136309 4137590	4139691 4137584 4136308	-1.0 -1.0	1.0 1.0 1.0	STS3
4140422	BDH	4135001 4138672	4138673 4134602 4137584	-1.0 -1.0	1.0 1.0 1.0	BDH
4140429	STS2	4136996 4137590	4136994 4139691 4137584	-1.0 -1.0	1.0 1.0 1.0	STS2
4140435	H2Ot	4137590	4137590	-1.0	1.0	H2O transport via diffusion
4140542	SALCHS4FEabcpp	4134977 4137590 4139621	4134734 4139621 4139255 4137584	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	Salmochelin S4 Fe III transport via ABC system periplasm 
4140545	3MBt4pp	4134344 4138666	4134344 4138666	-1.0 -1.0	1.0 1.0	Na+/Isovalerate symport (periplasm)
4140548	DOLICHOL_Uter	4136863	4136863	-0.1	0.1	DOLICHOL Uter
4140551	TYRTAip	4137432 4134224	4134791 4140022	-1.0 -1.0	1.0 1.0	Tyrosine transaminase  irreversible  peroxisomal 
4140553	RE2203C	4135945	4135959	-1.0	1.0	RE2203
4140555	EX_fuc14galacglcgalgluside_hs_e	4137158		-1.0		EX fuc14galacglcgalgluside hs e
4140558	LPLIPAL1E180pp	4137590 4134001	4137238 4137584 4138768	-1.0 -1.0	1.0 1.0 1.0	Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm)
4140560	RE3535R	4137584 4139352	4136117 4137590	-2.0 -1.0	1.0 1.0	RE3535
4140562	ALDD20x_1	4137925 4138672 4137590	4138673 4137584 4137924	-1.0 -1.0 -1.0	1.0 2.0 1.0	Aldehyde dehydrogenase  NAD 
4140564	PA_HSter	4138891	4138891	-1.0	1.0	PA HSter
4140567	MDDEP2pp	4137590 4138615	4138616	-1.0 -1.0	1.0	Murein D,D-endopeptidase (murein3px4p) (periplasm)
4140570	RE3534C	4137564 4135728	4136123	-1.0 -1.0	1.0	RE3534
4140572	BIOMASS_Mtb_9_60atp	4139915 4139654 4134925 4139028 4138631 4139534 4137748 4139068 4139168 4137787 4137052 4139937 4139139 4138392 4137590 4137446 4134597 4139994 4134958 4138559 4134800 4138289 4139219 4139963 4139935 4138576 4139212 4134599 4138877 4140044 4139150 4138540 4139291 4139261 4134846 4139259 4137503 4136564 4138849 4139258 4134910 4136906 4140145 4140005 4134601 4139260 4139936 4136524 4134908 4140063 4138407 4137745 4138846 4139062 4138406 4137413 4137441 4140022 4136681 4140171 4140047 4139149 4139964 4137397 4138777 4134977 4137766 4139347 4137432 4138768 4140130 4139962 4140042 4137918 4139938 4137259 4138179 4139140 4139256 4136581 4134951 4136331 4136349 4134600 4139843 4134637 4134598 4139681 4138469 4139257 4137993 4138453	4134734 4139255 4137584	-0.135712 -0.143397 -0.120416 -0.001251 -0.011003 -0.021723 -0.01094 -0.004061 -0.00581 -0.040617 -0.001498 -0.001104 -0.01885 -0.095065 -60.0 -0.025359 -0.001681 -0.020124 -0.120308 -0.003365 -0.405957 -0.03909 -0.048102 -0.006491 -0.001106 -0.095802 -0.006453 -0.001335 -0.006407 -0.001008 -0.00613 -0.003291 -2.63E-4 -0.001154 -0.139026 -0.001403 -0.243651 -0.003492 -0.006798 -0.001573 -0.015676 -0.003653 -0.131604 -0.012193 -0.001274 -0.001266 -0.0011 -0.022 -7.31E-4 -0.002793 -0.001402 -0.235152 -0.00724 -2.73E-4 -0.00784 -0.05812 -0.335808 -0.031756 -0.006659 -0.205827 -9.86E-4 -0.006487 -0.006474 -0.163152 -0.009849 -60.0 -0.058352 -0.138034 -0.090007 -0.034837 -9.77E-4 -0.00797 -0.001008 -0.087731 -0.001097 -0.055474 -0.204706 -0.01885 -0.002076 -0.006663 -0.047699 -0.005859 -0.250951 -0.001211 -0.001176 -0.230181 -0.001488 -0.001137 -0.001184 -0.00179 -0.003338 -0.034889	60.0 60.0 60.0	Biomass Mtb 9 60atp
4140574	EX_tgua_e	4139890		-1.0		Thioguanine exchange
4140577	DHFR	4136741 4137584 4138675	4139904 4138674	-1.0 -1.0 -1.0	1.0 1.0	Dihydrofolate reductase
4140601	DHFS	4134977 4137432 4136757	4139255 4136741 4137584 4134734	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	Dihydrofolate synthase
4140610	OAP7pp	4140098 4140112	4140100 4137584 4140108	-1.0 -1.0	1.0 1.0 1.0	O antigen polymerase 7 periplasm 
4140613	RE3534M	4137564 4135728	4136123	-1.0 -1.0	1.0	RE3534
4140614	3M4HDXPAC	4138672 4137590 4134358	4137813 4138673 4137584	-1.0 -1.0 -1.0	1.0 1.0 2.0	3M4HDXPAC
4140617	ASNabcpp	4134977 4134951 4137590	4137584 4134951 4139255 4134734	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	L-asparagine transport via ABC system (periplasm)
4140619	RE3534R	4135728 4137564	4136123	-1.0 -1.0	1.0	RE3534
4140620	STS1	4136740 4137590	4137584 4139691 4136739	-1.0 -1.0	1.0 1.0 1.0	STS1
4140638	B_MANNASEly	4138562 4137590	4134636 4138392	-1.0 -1.0	1.0 1.0	B MANNASEly
4140641	ACHBS	4139456 4134175 4137584	4136377 4134091	-1.0 -1.0 -1.0	1.0 1.0	2-aceto-2-hydroxybutanoate synthase
4140646	H6_ETer_cho	4136958 4139089	4136952 4136539	-1.0 -1.0	1.0 1.0	H6' phosphoethanolaminyl transferase, endoplasmic reticulum
4140647	r1400	4139289 4136442	4139289 4136442	-1.0 -1.0	1.0 1.0	Active transport
4140649	FNOR	4137584 4138674 4137062	4138675 4137057	-1.0 -1.0 -2.0	1.0 2.0	Ferredoxin---NADP+ reductase
4140652	FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte_cho	4137174	4137174	-1.0	1.0	Blood group intracellular transport
4140654	r1401	4136442 4135017	4136442 4135017	-1.0 -1.0	1.0 1.0	Facilitated diffusion
4140656	EX_salchs2fe_e	4139617		-1.0		Salmochelin-S2-Fe-III Exchange
4140659	S4T4g	4136473 4139025	4137584 4139024 4136496	-1.0 -2.0	2.0 2.0 1.0	S4T4g
4140662	5HTRPDOX	4138749 4134537	4134535	-1.0 -1.0	1.0	5HTRPDOX
4140665	ALPATG160pp	4139149 4134838	4134087 4138265	-1.0 -1.0	1.0 1.0	Apolipoprotein N-acyltransferase (phosphatidylglycerol, periplasm)
4140668	SSALxm	4138672 4137590 4139765	4138673 4137584 4139758	-1.0 -1.0 -1.0	1.0 2.0 1.0	SSALxm
4140677	DGTPtm_cho	4136687	4136687	-1.0	1.0	Transport of dGTP into mitochondria
4140679	EX_fucacngal14acglcgalgluside_cho_e	4137163		-1.0		IV3-a-NeuAc,III3-a-Fuc-nLc4Cer exchange
4140681	B3GNT311g	4140121 4134624	4137264 4137584 4140117	-1.0 -1.0	1.0 1.0 1.0	B3GNT311g
4140684	EX_dag_cho_e	4136539		-1.0		Exchange reaction for diglyceride
4140686	CLPNS181pp	4139153	4137446 4136334	-2.0	1.0 1.0	Cardiolipin synthase (periplasmic, n-C18:1)
4140689	SK_for_c	4137132		-1.0		Sink for(c)
4140691	DARBabcpp	4134906 4137590 4134977	4134734 4139255 4134906 4137584	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	D-arabinose transport via ABC system (periplasm)
4140694	r1411	4137694 4137590	4137692 4137259	-1.0 -1.0	1.0 1.0	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D- galactosyl-D-glucosylceramide galactohydrolase EC:3.2.1.23
4140696	ACGAGBSIDEtl_cho	4134615	4134615	-1.0	1.0	Acgagbside hs intracellular transport
4140698	LGTHL	4138608 4137564	4138189	-1.0 -1.0	1.0	Lactoylglutathione lyase
4140701	S4T3g	4139025 4136498	4137584 4139024 4136499	-1.0 -1.0	1.0 1.0 1.0	S4T3g
4140704	DAGK_hs_16_0_20_4	4138896 4134734 4137584	4134977 4136546	-1.0 -1.0 -1.0	1.0 1.0	DAGK hs 16 0 20 4
4140707	5HOXINOXDA	4137590 4138749 4139730	4134533 4138706 4137591	-1.0 -1.0 -1.0	1.0 1.0 1.0	5HOXINOXDA
4140710	B3GNT310g	4140121 4134656	4137584 4140117 4137261	-1.0 -1.0	1.0 1.0 1.0	B3GNT310g
4140713	FORGLUIH	4137590 4137584 4137134	4138705 4138702	-1.0 -2.0 -1.0	1.0 1.0	FORGLUIH
4140721	PLPSA21801819Z	4137590 4139071	4138775 4137584 4134001	-1.0 -1.0	1.0 1.0 1.0	Phospholipase A2 (18:0/18:1(9Z))
4140724	B3GNT313g	4140121 4134633	4137584 4137266 4140117	-1.0 -1.0	1.0 1.0 1.0	B3GNT313g
4140727	NS26T2g	4136351 4139733	4137584 4136349 4136897	-1.0 -1.0	1.0 1.0 1.0	NS26T2g
4140730	EX_limnen_e	4138192		-1.0		EX limnen e
4140733	H2St	4137592	4137592	-1.0	1.0	H2St
4140736	SERt2rpp	4139654 4137584	4137584 4139654	-1.0 -1.0	1.0 1.0	L-serine reversible transport via proton symport (periplasm)
4140737	S4T6g	4136465 4139025	4139024 4137584 4136466	-1.0 -1.0	1.0 1.0 1.0	S4T6g
4140740	UMPK5	4140145 4136567	4140117 4136538	-1.0 -1.0	1.0 1.0	UMPK5
4140743	UMPK6	4136585 4140145	4136578 4140117	-1.0 -1.0	1.0 1.0	UMPK6
4140746	UMPK3	4140164 4140145	4140117	-1.0 -1.0	2.0	UMPK3
4140749	EX_5dhf_e	4134520		-1.0		EX 5dhf e
4140752	UMPK4	4140145 4137566	4140117 4137354	-1.0 -1.0	1.0 1.0	UMPK4
4140755	GPIMTer_L	4137253 4136866	4137584 4136871 4138473	-1.0 -0.1	1.0 0.1 1.0	GPIMTer L
4140758	UMPK7	4136687 4140145	4136667 4140117	-1.0 -1.0	1.0 1.0	UMPK7
4140761	6HNACMO	4137584 4138673 4138749 4134564	4138672 4137590 4136760 4136377	-2.0 -1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	6HNACMO
4140767	PPAP_16_0_16_0	4137590 4138892	4136542 4139255	-1.0 -1.0	1.0 1.0	PPAP 16 0 16 0
4140770	UPPDC1_1	4137584 4140155	4136377 4136434	-4.0 -1.0	4.0 1.0	Uroporphyrinogen decarboxylase (uroporphyrinogen III)
4140797	GLYCLTtex	4137452	4137452	-1.0	1.0	Glycolate transport via diffusion (extracellular to periplasm)
4140800	3AMPtex	4134238	4134238	-1.0	1.0	3AMP transport via diffusion (extracellular to periplasm)
4140802	EX_glysar_e	4137473		-1.0		Exchange reaction for glycylsarcosine
4140804	EX_retinol_9_cis_e	4139520		-1.0		EX retinol  9  cis e
4140807	GPIMTer_U	4137253 4136867	4138473 4137584 4136872	-1.0 -0.1	1.0 1.0 0.1	GPIMTer U
4140810	DGTPtn	4136687	4136687	-1.0	1.0	DGTPtn
4140813	DGTPtm	4136667 4136687	4136667 4137584 4136687	-1.0 -1.0	1.0 1.0 1.0	Deoxynucleotide carrier (dgtp), mitochondrial
4140815	B3GNT312g	4140121 4134647	4137584 4140117 4137271	-1.0 -1.0	1.0 1.0 1.0	B3GNT312g
4140818	H2SO	4138749 4137592	4139691 4137584	-2.0 -1.0	1.0 2.0	Hydrogen sulfide oxidation
4140820	UMPKm	4140145 4134977	4140117 4134734	-1.0 -1.0	1.0 1.0	UMPKm
4140830	UMPKn	4134977 4140145	4140117 4134734	-1.0 -1.0	1.0 1.0	UMP kinase  nuclear
4140832	S4T5g	4136500 4139025	4136507 4137584 4139024	-1.0 -1.0	1.0 1.0 1.0	S4T5g
4140835	EAR80x	4137584 4138673 4139950	4138765 4138672	-1.0 -1.0 -1.0	1.0 1.0	Enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0)
4140838	EAR80y	4137584 4139950 4138675	4138765 4138674	-1.0 -1.0 -1.0	1.0 1.0	Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0)
4140841	MCTP2App	4138624	4138627 4134799	-1.0	1.0 2.0	Murein crosslinking transpeptidase 1A:(A2pm->D-ala) (periplasm)
4140844	FADRx	4137584 4138673 4137047	4137048 4138672	-1.0 -1.0 -1.0	1.0 1.0	FAD reductase
4140849	DINSt2	4136777 4137584	4136777 4137584	-1.0 -1.0	1.0 1.0	Deoxyinosine transport in via proton symport
4140852	RNDR2	4137354 4139961	4136667 4137590 4139959	-1.0 -1.0	1.0 1.0 1.0	Ribonucleoside-diphosphate reductase (GDP)
4140855	RNDR3	4135250 4139961	4137590 4139959 4136578	-1.0 -1.0	1.0 1.0 1.0	Ribonucleoside-diphosphate reductase (CDP)
4140858	RNDR4	4140117 4139961	4137590 4139959 4136912	-1.0 -1.0	1.0 1.0 1.0	Ribonucleoside-diphosphate reductase (UDP)
4140861	FUCFUCGALACGLCGALGLUSIDEte_cho	4137187	4137187	-1.0	1.0	Blood group intracellular transport
4140862	OMPHHX6m	4138749 4134191	4134183	-0.5 -1.0	1.0	OMPHHX6m
4140865	r0113	4137590 4140051	4134666 4140117 4137584	-1.0 -1.0	1.0 1.0 1.0	UDP-N-acetyl-D-glucosamine 2-epimerase Aminosugars metabolism EC:5.1.3.14
4140867	r1441	4139961	4139961	-1.0	1.0	Active transport
4140868	RNDR1	4139961 4134734	4137590 4139959 4136538	-1.0 -1.0	1.0 1.0 1.0	Ribonucleoside-diphosphate reductase (ADP)
4140871	CYOO6m	4137584 4138749 4137127	4137584 4137590 4137099	-8.0 -1.0 -4.0	4.0 2.0 4.0	Cytochrome c oxidase Complex IV
4140874	3HCO3_NAt	4138666 4137742	4138666 4137742	-1.0 -3.0	1.0 3.0	3HCO3 NAt
4140893	4HBZR	4134439 4137584 4137061	4134994 4137590 4137059	-1.0 -6.0 -1.0	1.0 1.0 1.0	4-hydroxybenzoylCoA reducatse
4140896	APG3PAT180	4137449 4138772	4139255 4137584 4134031	-1.0 -1.0	1.0 1.0 1.0	Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)
4140899	APG3PAT181	4138778 4137449	4134024 4139255 4137584	-1.0 -1.0	1.0 1.0 1.0	Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1)
4140902	GQ1Bte_cho	4137528	4137528	-1.0	1.0	Gq1b hs transport
4140904	OBTFL	4136379 4134175	4139289 4137132	-1.0 -1.0	1.0 1.0	2-Oxobutanoate formate lyase
4140911	FLDR2	4138675 4137106	4137584 4138674 4137105	-1.0 -2.0	1.0 1.0 2.0	Flavodoxin reductase (NADPH)
4140914	r1459	4139297	4139297	-1.0	1.0	Transport reaction
4140916	AEPtex	4134096	4134096	-1.0	1.0	AEP transport via diffusion extracellular to periplasm 
4140919	FE3R2e	4137066 4134935	4137065 4136738 4137584	-2.0 -1.0	2.0 1.0 2.0	FE3R2e
4140926	r1455	4137584 4139219	4137584 4139219	-1.0 -1.0	1.0 1.0	Transport reaction
4140927	1AGPEAT1819Z1835Z9Z12Z	4134004 4138883	4139082 4136379	-1.0 -1.0	1.0 1.0	1-acylglycerophosphoethanolamine O-acyltransferase (18:1(9Z)/18:3(5Z,12Z,15Z))
4140929	r1454	4137584 4134175	4134175 4137584	-1.0 -1.0	1.0 1.0	TCDB:2.A.1.13.5 TCDB:2.A.1.13.1
4140931	r1457	4137584 4138675 4137737	4138674 4137886	-1.0 -1.0 -1.0	1.0 1.0	Hexadecanal:NADP+ delta2-oxidoreductase EC:1.3.1.27
4140933	r1456	4139219 4137584	4137584 4139219	-1.0 -1.0	1.0 1.0	Transport reaction
4140934	CBL1abcpp	4134977 4135229 4137590	4137584 4139255 4135229 4134734	-1.0 -1.0 -1.0	1.0 1.0 1.0 1.0	Cob(1)alamin transport via ABC system (periplasm)
4140936	r0120	4137566 4137590 4137584	4137648	-1.0 -1.0 -4.0	1.0	GTP 7,8-8,9-dihydrolase Folate biosynthesis EC:3.5.4.16
4140938	KSItly	4138003	4138003	-1.0	1.0	KSItly
4140941	ST8SIA54g_cho	4136351 4137478	4137584 4137344 4136349	-1.0 -1.0	1.0 1.0 1.0	Beta-galactoside alpha-2,3-sialyltransferase
4140942	EX_HC02191_e	4137701		-1.0		Lithocholate exchange
4140944	EX_xoltri27_e	4140208		-1.0		EX xoltri27 e
4140947	r1428	4136729	4136729	-1.0	1.0	Free diffusion
4140949	r1427	4137787 4137584	4137584 4137787	-1.0 -1.0	1.0 1.0	Mitochondrial Carrier (MC) TCDB:2.A.29.19.1
4140951	r1421	4137049	4137049	-1.0	1.0	Free diffusion
4140952	PAPA18111Z160h	4138857 4137590	4133942 4139255	-1.0 -1.0	1.0 1.0	Phosphatidate phosphatase (18:1(11Z)/16:0)
4140955	NORANMT	4134843 4138736	4134765 4134749 4137584	-1.0 -1.0	1.0 1.0 1.0	NORANMT
4140974	DHPD	4137590 4134500	4135217	-1.0 -1.0	1.0	Dihydropyrimidinase
4140995	ACGAMtly	4134636	4134636	-1.0	1.0	ACGAMtly
4140998	TAGtex	4139831	4139831	-1.0	1.0	D Tagatose transport via diffusion extracellular to periplasm 
4141001	RE3409C	4138749 4138243	4136140	-1.0 -1.0	1.0	RE3409
4141003	r1437	4136524	4136524	-1.0	1.0	Transport reaction
4141004	r1435	4139654	4139654	-1.0	1.0	Transport reaction
4141005	FADOX	4137048 4138598	4138595 4137047	-1.0 -1.0	1.0 1.0	FADOX
4141007	r1434	4134800	4134800	-1.0	1.0	Transport reaction
4141008	ADNtex	4134728	4134728	-1.0	1.0	Adenosine transport via diffusion (extracellular to periplasm)
4141011	EX_HC02201_e	4137714		-1.0		S-glutathionyl-ethacrynic-acid exchange
4141013	CDPMEK	4134422 4134977	4134734 4134197 4137584	-1.0 -1.0	1.0 1.0 1.0	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
4141020	EX_T4hcinnm_e	4139784		-1.0		EX T4hcinnm LPAREN e RPAREN 
4141023	CDPGLC46DH	4135304	4135254 4137590	-1.0	1.0 1.0	CDP glucose 4 6 dehydratase
4141031	DHEASULT	4139025 4136739	4139024 4137584 4136740	-1.0 -1.0	1.0 1.0 1.0	DHEASULT
4141047	RN0028R	4137590 4136369	4136371	-1.0 -1.0	1.0	RN0028
4141049	RDH1a	4138674 4139519	4138675 4139515 4137584	-1.0 -1.0	1.0 1.0 1.0	RDH1a
4141131	RN0028X	4137590 4136369	4136371	-1.0 -1.0	1.0	RN0028
4141132	DHQS	4134103	4134254 4139255	-1.0	1.0 1.0	3-dehydroquinate synthase
4141140	TETPENT3CPT2	4136379 4139880	4136442 4139879	-1.0 -1.0	1.0 1.0	TETPENT3CPT2
4141143	r0157	4139456 4137413	4134800 4137617	-1.0 -1.0	1.0 1.0	L-Glutamine:pyruvate aminotransferase Glutamate metabolism EC:2.6.1.15
4141145	r0156	4139456 4137413	4137617 4134800	-1.0 -1.0	1.0 1.0	L-Glutamine:pyruvate aminotransferase Glutamate metabolism EC:2.6.1.15
4141146	r1487	4134977 4136379 4137748	4139297 4134846 4137752	-1.0 -1.0 -1.0	1.0 1.0 1.0	EC:6.2.1.3
4141148	ECOAH11p	4137884 4137590	4134338	-1.0 -1.0	1.0	3 hydroxyacyl CoA dehydratase  3 hydroxyhexacosyl CoA   peroxisomal
4141151	TTDCPT1	4136442 4139856	4136379 4140012	-1.0 -1.0	1.0 1.0	TTDCPT1
4141158	3MBZALDH	4138672 4134348	4134349 4137584 4138673	-1.0 -1.0	1.0 1.0 1.0	3MBZALDH
4141161	TTDCPT2	4140012 4136379	4139856 4136442	-1.0 -1.0	1.0 1.0	TTDCPT2
4141163	RN0028C	4136369 4137590	4136371	-1.0 -1.0	1.0	RN0028
4141164	MYC1M1	4138550 4137590 4134843	4137584 4134765 4138556	-1.0 -1.0 -1.0	1.0 1.0 1.0	MYC1M1
4141167	MYC1M2	4137989 4137590 4134843	4137584 4134765 4138537	-1.0 -1.0 -1.0	1.0 1.0 1.0	MYC1M2
4141170	OBFOOLOR	4138749 4138675 4138762 4137584	4137590 4138674 4138443 4137132	-3.0 -3.0 -1.0 -2.0	4.0 3.0 1.0 1.0	Obtusifoliol,NADPH:oxygen oxidoreductase (14-methyl cleaving)
4141173	13DAMPPOX	4138749 4137590 4133971	4138706 4137591 4134984	-1.0 -1.0 -1.0	1.0 1.0 1.0	13DAMPPOX
4141176	APG3PAT140	4140007 4137449	4139255 4134037 4137584	-1.0 -1.0	1.0 1.0 1.0	Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0)
4141179	APG3PAT141	4140010 4137449	4134036 4139255 4137584	-1.0 -1.0	1.0 1.0 1.0	Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)
4141182	DHDPS	4139456 4134959	4134053 4137584 4137590	-1.0 -1.0	1.0 1.0 2.0	Dihydrodipicolinate synthase
4141190	EGMESTr	4136939 4137590	4138438 4136935 4137584	-1.0 -1.0	1.0 1.0 1.0	EGMESTr
4141193	DHPR	4136730 4137584 4138673	4138672 4139891	-1.0 -1.0 -1.0	1.0 1.0	DHPR
4141201	DHPS	4134094 4134417	4137590 4136757	-1.0 -1.0	1.0 1.0	DHPS
4141203	GNDer	4138674 4134570	4139560 4136377 4138675	-1.0 -1.0	1.0 1.0 1.0	GNDer
4141537	r1384	4137590 4137584 4137536	4138706 4140212	-1.0 -1.0 -1.0	1.0 1.0	Guanosine aminohydrolase EC:3.5.4.15
4141539	FACOAL180_1	4136379 4134977 4138768	4139297 4134846 4138774	-1.0 -1.0 -1.0	1.0 1.0 1.0	Long-chain acyl-CoA synthetase (18:0)
4141542	r1380	4140237 4137584 4138675	4140239 4138674	-1.0 -1.0 -1.0	1.0 1.0	Delta24-sterol reductase Biosynthesis of steroids EC:1.3.1.72
4141544	r1383	4137686	4137432 4139904	-1.0	6.0 1.0	Gamma-glutamyl hydrolase EC:3.4.19.9
4141546	r0051	4139297 4134846	4134721 4139363	-1.0 -1.0	1.0 1.0	AMP:pyrophosphate phosphoribosyltransferase Purine metabolism EC:2.4.2.7
4141548	r1382	4139904 4137432 4134977 4137590	4137686 4139255 4134734	-1.0 -6.0 -6.0 -6.0	1.0 6.0 6.0	Folylpolyglutamyl synthetase EC:6.3.2.17
4141550	DNDPt9m	4136899 4136538	4136899 4136538	-1.0 -1.0	1.0 1.0	DNDPt9m
4141553	ITKPK	4134977 4138510	4137584 4138508 4134734	-1.0 -1.0	1.0 1.0 1.0	Inositol-tetrakisphosphate 1-kinase
4141556	EX_cbl2_e	4135231		-1.0		Cob II alamin exchange
4141558	NO3R2pp	4138597 4138727 4137584	4137590 4138726 4137584 4138600	-1.0 -1.0 -2.0	1.0 1.0 2.0 1.0	Nitrate reductase (Menaquinol-8) (periplasm)
4141564	GLCAT3g	4136473 4140124	4136475 4140117 4137584	-1.0 -1.0	1.0 1.0 1.0	GLCAT3g
4141567	MGDGW6DS1829Z12Z1627Z10Z1	4138675 4138482 4138749 4137060	4138489 4138674 4137062 4137590	-4.0 -1.0 -1.0 -1.0	1.0 4.0 1.0 2.0	Omega-6 desaturase (18:2(9Z,12Z)/16:2(7Z,10Z)) (MGDG)
