ID	Entry	Name	Reference	Formula	Compartment ID	Compartment	Compartment (Integrated)	Model Metabolite ID	Model Metabolite Entry	Type	Bondary
1807220	M_pro_DASH_L_c@MODELID_222668	L-Proline		C5H9NO2	1807178	C_c@MODELID_222668	CYTOSOL	2580509	pro_DASH_L@MODELID_222668	SPECIE	
1807211	M_5aprbu_c@MODELID_222668	_5-Amino-6-(5'-phosphoribitylamino)uracil		C9H15N4O9P	1807178	C_c@MODELID_222668	CYTOSOL	2580281	5aprbu@MODELID_222668	SPECIE	
1807210	M_man6p_c@MODELID_222668	D-Mannose 6-phosphate		C6H11O9P	1807178	C_c@MODELID_222668	CYTOSOL	2580691	man6p@MODELID_222668	SPECIE	
1807209	M_fprica_c@MODELID_222668	_5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide		C10H13N4O9P	1807178	C_c@MODELID_222668	CYTOSOL	2580197	fprica@MODELID_222668	SPECIE	
1807208	M_ergst_r@MODELID_222668	Ergosterol		C28H44O	1807179	C_r@MODELID_222668	RETICULUM	2580205	ergst@MODELID_222668	SPECIE	
1807215	M_btn_e@MODELID_222668	Biotin		C10H15N2O3S	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580448	btn@MODELID_222668	SPECIE	
1807214	M_atp_c@MODELID_222668	ATP		C10H12N5O13P3	1807178	C_c@MODELID_222668	CYTOSOL	2580483	atp@MODELID_222668	SPECIE	
1807213	M_pro_DASH_L_e@MODELID_222668	L-Proline		C5H9NO2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580509	pro_DASH_L@MODELID_222668	SPECIE	
1807212	M_23dhmb_m@MODELID_222668	(R)-2,3-Dihydroxy-3-methylbutanoate		C5H9O4	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580475	23dhmb@MODELID_222668	SPECIE	
1807203	M_octa_x@MODELID_222668	octanoate (n-C8:0)		C8H15O2	1807183	C_x@MODELID_222668	PEROXISOME	2580615	octa@MODELID_222668	SPECIE	
1807202	M_tdcoa_x@MODELID_222668	Tetradecanoyl-CoA (n-C14:0CoA)		C35H58N7O17P3S	1807183	C_x@MODELID_222668	PEROXISOME	2580631	tdcoa@MODELID_222668	SPECIE	
1807201	M_h2o_m@MODELID_222668	H2O		H2O	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580186	h2o@MODELID_222668	SPECIE	
1807200	M_ppp9_m@MODELID_222668	Protoporphyrin		C34H32N4O4	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580696	ppp9@MODELID_222668	SPECIE	
1807207	M_hisp_c@MODELID_222668	L-Histidinol phosphate		C6H11N3O4P	1807178	C_c@MODELID_222668	CYTOSOL	2580574	hisp@MODELID_222668	SPECIE	
1807206	M_3hanthrn_c@MODELID_222668	_3-Hydroxyanthranilate		C7H7NO3	1807178	C_c@MODELID_222668	CYTOSOL	2580562	3hanthrn@MODELID_222668	SPECIE	
1807205	M_3dhq_c@MODELID_222668	_3-Dehydroquinate		C7H9O6	1807178	C_c@MODELID_222668	CYTOSOL	2580589	3dhq@MODELID_222668	SPECIE	
1807204	M_mip2c224_SC_c@MODELID_222668	mannose-(inositol-P)2-ceramide, ceramide-2 (24C), yeast-specific		C6000H11500N100O2500P200	1807178	C_c@MODELID_222668	CYTOSOL	2580064	mip2c224_SC@MODELID_222668	SPECIE	
1807259	M_val_DASH_L_b@MODELID_222668	L-Valine		C5H11NO2	1807180	C_e@MODELID_222668	BOUNDARY	2580432	val_DASH_L@MODELID_222668	SPECIE	
1807258	M_val_DASH_L_m@MODELID_222668	L-Valine		C5H11NO2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580432	val_DASH_L@MODELID_222668	SPECIE	
1807257	M_Ssq23epx_c@MODELID_222668	(S)-Squalene-2,3-epoxide		C30H50O	1807178	C_c@MODELID_222668	CYTOSOL	2580535	Ssq23epx@MODELID_222668	SPECIE	
1807256	M_stcoa_x@MODELID_222668	Stearoyl-CoA (n-C18:0CoA)		C39H66N7O17P3S	1807183	C_x@MODELID_222668	PEROXISOME	2580385	stcoa@MODELID_222668	SPECIE	
1807263	M_2mcit_c@MODELID_222668	_2-Methylcitrate		C7H7O7	1807178	C_c@MODELID_222668	CYTOSOL	2580470	2mcit@MODELID_222668	SPECIE	
1807262	M_Ssq23epx_r@MODELID_222668	(S)-Squalene-2,3-epoxide		C30H50O	1807179	C_r@MODELID_222668	RETICULUM	2580535	Ssq23epx@MODELID_222668	SPECIE	
1807261	M_val_DASH_L_e@MODELID_222668	L-Valine		C5H11NO2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580432	val_DASH_L@MODELID_222668	SPECIE	
1807260	M_val_DASH_L_c@MODELID_222668	L-Valine		C5H11NO2	1807178	C_c@MODELID_222668	CYTOSOL	2580432	val_DASH_L@MODELID_222668	SPECIE	
1807251	M_5pmev_c@MODELID_222668	(R)-5-Phosphomevalonate		C6H10O7P	1807178	C_c@MODELID_222668	CYTOSOL	2580424	5pmev@MODELID_222668	SPECIE	
1807250	M_b124tc_m@MODELID_222668	But-1-ene-1,2,4-tricarboxylate		C7H5O6	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580513	b124tc@MODELID_222668	SPECIE	
1807249	M_gp4g_c@MODELID_222668	P1,P4-Bis(5'-guanosyl) tetraphosphate		C20H24N10O21P4	1807178	C_c@MODELID_222668	CYTOSOL	2580291	gp4g@MODELID_222668	SPECIE	
1807248	M_co2_n@MODELID_222668	CO2		CO2	1807177	C_n@MODELID_222668	NUCLEUS	2580258	co2@MODELID_222668	SPECIE	
1807255	M_co2_x@MODELID_222668	CO2		CO2	1807183	C_x@MODELID_222668	PEROXISOME	2580258	co2@MODELID_222668	SPECIE	
1807254	M_stcoa_c@MODELID_222668	Stearoyl-CoA (n-C18:0CoA)		C39H66N7O17P3S	1807178	C_c@MODELID_222668	CYTOSOL	2580385	stcoa@MODELID_222668	SPECIE	
1807253	M_3c3hmp_c@MODELID_222668	_3-Carboxy-3-hydroxy-4-methylpentanoate		C7H10O5	1807178	C_c@MODELID_222668	CYTOSOL	2580228	3c3hmp@MODELID_222668	SPECIE	
1807252	M_co2_v@MODELID_222668	CO2		CO2	1807182	C_v@MODELID_222668	VACUOLE	2580258	co2@MODELID_222668	SPECIE	
1807243	M_valtrna_m@MODELID_222668	L-Valyl-tRNA(Val)		C5H10NOR	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580488	valtrna@MODELID_222668	SPECIE	
1807242	M_btn_b@MODELID_222668	Biotin		C10H15N2O3S	1807180	C_e@MODELID_222668	BOUNDARY	2580448	btn@MODELID_222668	SPECIE	
1807241	M_trnaasp_m@MODELID_222668	tRNA(Asp)		R	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580250	trnaasp@MODELID_222668	SPECIE	
1807240	M_co2_c@MODELID_222668	CO2		CO2	1807178	C_c@MODELID_222668	CYTOSOL	2580258	co2@MODELID_222668	SPECIE	
1807247	M_co2_m@MODELID_222668	CO2		CO2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580258	co2@MODELID_222668	SPECIE	
1807246	M_cmp_m@MODELID_222668	CMP		C9H12N3O8P	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580259	cmp@MODELID_222668	SPECIE	
1807245	M_co2_g@MODELID_222668	CO2		CO2	1807181	C_g@MODELID_222668	GOLGI	2580258	co2@MODELID_222668	SPECIE	
1807244	M_pro_DASH_L_m@MODELID_222668	L-Proline		C5H9NO2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580509	pro_DASH_L@MODELID_222668	SPECIE	
1807235	M_h2o_b@MODELID_222668	H2O		H2O	1807180	C_e@MODELID_222668	BOUNDARY	2580186	h2o@MODELID_222668	SPECIE	
1807234	M_co2_e@MODELID_222668	CO2		CO2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580258	co2@MODELID_222668	SPECIE	
1807233	M_hxdcal_c@MODELID_222668	Hexadecanal		C16H32O	1807178	C_c@MODELID_222668	CYTOSOL	2580339	hxdcal@MODELID_222668	SPECIE	
1807232	M_h2o_e@MODELID_222668	H2O		H2O	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580186	h2o@MODELID_222668	SPECIE	
1807239	M_cmp_c@MODELID_222668	CMP		C9H12N3O8P	1807178	C_c@MODELID_222668	CYTOSOL	2580259	cmp@MODELID_222668	SPECIE	
1807238	M_atp_g@MODELID_222668	ATP		C10H12N5O13P3	1807181	C_g@MODELID_222668	GOLGI	2580483	atp@MODELID_222668	SPECIE	
1807237	M_h2o_c@MODELID_222668	H2O		H2O	1807178	C_c@MODELID_222668	CYTOSOL	2580186	h2o@MODELID_222668	SPECIE	
1807236	M_btn_c@MODELID_222668	Biotin		C10H15N2O3S	1807178	C_c@MODELID_222668	CYTOSOL	2580448	btn@MODELID_222668	SPECIE	
1807291	M_trnaleu_c@MODELID_222668	tRNA(Leu)		R	1807178	C_c@MODELID_222668	CYTOSOL	2580532	trnaleu@MODELID_222668	SPECIE	
1807290	M_gthox_b@MODELID_222668	Oxidized glutathione		C20H30N6O12S2	1807180	C_e@MODELID_222668	BOUNDARY	2580327	gthox@MODELID_222668	SPECIE	
1807289	M_gthox_c@MODELID_222668	Oxidized glutathione		C20H30N6O12S2	1807178	C_c@MODELID_222668	CYTOSOL	2580327	gthox@MODELID_222668	SPECIE	
1807288	M_ac_m@MODELID_222668	Acetate		C2H3O2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580065	ac@MODELID_222668	SPECIE	
1807295	M_pi_c@MODELID_222668	Phosphate		HO4P	1807178	C_c@MODELID_222668	CYTOSOL	2580384	pi@MODELID_222668	SPECIE	
1807294	M_pi_b@MODELID_222668	Phosphate		HO4P	1807180	C_e@MODELID_222668	BOUNDARY	2580384	pi@MODELID_222668	SPECIE	
1807293	M_trnalys_c@MODELID_222668	tRNA(Lys)		R	1807178	C_c@MODELID_222668	CYTOSOL	2580564	trnalys@MODELID_222668	SPECIE	
1807292	M_g3p_c@MODELID_222668	Glyceraldehyde 3-phosphate		C3H5O6P	1807178	C_c@MODELID_222668	CYTOSOL	2580255	g3p@MODELID_222668	SPECIE	
1807283	M_pi_g@MODELID_222668	Phosphate		HO4P	1807181	C_g@MODELID_222668	GOLGI	2580384	pi@MODELID_222668	SPECIE	
1807282	M_malt_c@MODELID_222668	Maltose		C12H22O11	1807178	C_c@MODELID_222668	CYTOSOL	2580414	malt@MODELID_222668	SPECIE	
1807281	M_malt_b@MODELID_222668	Maltose		C12H22O11	1807180	C_e@MODELID_222668	BOUNDARY	2580414	malt@MODELID_222668	SPECIE	
1807280	M_pi_e@MODELID_222668	Phosphate		HO4P	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580384	pi@MODELID_222668	SPECIE	
1807287	M_trnaasn_c@MODELID_222668	tRNA(Asn)		C10H17O10PR2	1807178	C_c@MODELID_222668	CYTOSOL	2580251	trnaasn@MODELID_222668	SPECIE	
1807286	M_pi_n@MODELID_222668	Phosphate		HO4P	1807177	C_n@MODELID_222668	NUCLEUS	2580384	pi@MODELID_222668	SPECIE	
1807285	M_pi_m@MODELID_222668	Phosphate		HO4P	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580384	pi@MODELID_222668	SPECIE	
1807284	M_trnaser_c@MODELID_222668	tRNA(Ser)		R	1807178	C_c@MODELID_222668	CYTOSOL	2580559	trnaser@MODELID_222668	SPECIE	
1807275	M_tdecoa_x@MODELID_222668	Tetradecenoyl-CoA (n-C14:1CoA)		C35H56N7O17P3S	1807183	C_x@MODELID_222668	PEROXISOME	2580512	tdecoa@MODELID_222668	SPECIE	
1807274	M_3c3hmp_m@MODELID_222668	_3-Carboxy-3-hydroxy-4-methylpentanoate		C7H10O5	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580228	3c3hmp@MODELID_222668	SPECIE	
1807273	M_oxag_c@MODELID_222668	Oxaloglutarate		C7H5O7	1807178	C_c@MODELID_222668	CYTOSOL	2580693	oxag@MODELID_222668	SPECIE	
1807272	M_tdcoa_c@MODELID_222668	Tetradecanoyl-CoA (n-C14:0CoA)		C35H58N7O17P3S	1807178	C_c@MODELID_222668	CYTOSOL	2580631	tdcoa@MODELID_222668	SPECIE	
1807279	M_xu5p_DASH_D_c@MODELID_222668	D-Xylulose 5-phosphate		C5H9O8P	1807178	C_c@MODELID_222668	CYTOSOL	2580203	xu5p_DASH_D@MODELID_222668	SPECIE	
1807278	M_trnalys_m@MODELID_222668	tRNA(Lys)		R	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580564	trnalys@MODELID_222668	SPECIE	
1807277	M_malt_e@MODELID_222668	Maltose		C12H22O11	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580414	malt@MODELID_222668	SPECIE	
1807276	M_ac_x@MODELID_222668	Acetate		C2H3O2	1807183	C_x@MODELID_222668	PEROXISOME	2580065	ac@MODELID_222668	SPECIE	
1807267	M_trnaleu_m@MODELID_222668	tRNA(Leu)		R	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580532	trnaleu@MODELID_222668	SPECIE	
1807266	M_35cgmp_c@MODELID_222668	_3',5'-Cyclic GMP		C10H11N5O7P	1807178	C_c@MODELID_222668	CYTOSOL	2580082	35cgmp@MODELID_222668	SPECIE	
1807265	M_2mcit_m@MODELID_222668	_2-Methylcitrate		C7H7O7	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580470	2mcit@MODELID_222668	SPECIE	
1807264	M_f1p_c@MODELID_222668	D-Fructose 1-phosphate		C6H11O9P	1807178	C_c@MODELID_222668	CYTOSOL	2580252	f1p@MODELID_222668	SPECIE	
1807271	M_lpro_m@MODELID_222668	Lipoylprotein		S2X	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580543	lpro@MODELID_222668	SPECIE	
1807270	M_oxag_m@MODELID_222668	Oxaloglutarate		C7H5O7	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580693	oxag@MODELID_222668	SPECIE	
1807269	M_L2aadp_c@MODELID_222668	L-2-Aminoadipate		C6H10NO4	1807178	C_c@MODELID_222668	CYTOSOL	2580628	L2aadp@MODELID_222668	SPECIE	
1807268	M_cer2_26_c@MODELID_222668	Ceramide-2 (Phytosphingosine:n-C26:0)		C44H89NO4	1807178	C_c@MODELID_222668	CYTOSOL	2580387	cer2_26@MODELID_222668	SPECIE	
1807323	M_hexccoa_c@MODELID_222668	Hexacosanoyl-CoA (n-C26:0CoA)		C47H82N7O17P3S	1807178	C_c@MODELID_222668	CYTOSOL	2580607	hexccoa@MODELID_222668	SPECIE	
1807322	M_4h2oglt_x@MODELID_222668	_4-Hydroxy-2-oxoglutarate		C5H4O6	1807183	C_x@MODELID_222668	PEROXISOME	2580295	4h2oglt@MODELID_222668	SPECIE	
1807321	M_4abz_m@MODELID_222668	_4-Aminobenzoate		C7H6NO2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580675	4abz@MODELID_222668	SPECIE	
1807320	M_s_c@MODELID_222668	Sulfur		S	1807178	C_c@MODELID_222668	CYTOSOL	2580112	s@MODELID_222668	SPECIE	
1807327	M_amet_c@MODELID_222668	S-Adenosyl-L-methionine		C15H23N6O5S	1807178	C_c@MODELID_222668	CYTOSOL	2580379	amet@MODELID_222668	SPECIE	
1807326	M_1agly3p_SC_c@MODELID_222668	_1-Acyl-glycerone 3-phosphate, yeast-specific		C1920H3422O700P100	1807178	C_c@MODELID_222668	CYTOSOL	2580692	1agly3p_SC@MODELID_222668	SPECIE	
1807325	M_amet_b@MODELID_222668	S-Adenosyl-L-methionine		C15H23N6O5S	1807180	C_e@MODELID_222668	BOUNDARY	2580379	amet@MODELID_222668	SPECIE	
1807324	M_gsn_b@MODELID_222668	Guanosine		C10H13N5O5	1807180	C_e@MODELID_222668	BOUNDARY	2580208	gsn@MODELID_222668	SPECIE	
1807315	M_lystrna_m@MODELID_222668	L-Lysine-tRNA (Lys)		C6H14N2OR	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580059	lystrna@MODELID_222668	SPECIE	
1807314	M_gsn_m@MODELID_222668	Guanosine		C10H13N5O5	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580208	gsn@MODELID_222668	SPECIE	
1807313	M_5fthf_c@MODELID_222668	_5-Formyltetrahydrofolate		C20H21N7O7	1807178	C_c@MODELID_222668	CYTOSOL	2580560	5fthf@MODELID_222668	SPECIE	
1807312	M_coa_x@MODELID_222668	Coenzyme A		C21H32N7O16P3S	1807183	C_x@MODELID_222668	PEROXISOME	2580297	coa@MODELID_222668	SPECIE	
1807319	M_5fthf_m@MODELID_222668	_5-Formyltetrahydrofolate		C20H21N7O7	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580560	5fthf@MODELID_222668	SPECIE	
1807318	M_gsn_e@MODELID_222668	Guanosine		C10H13N5O5	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580208	gsn@MODELID_222668	SPECIE	
1807317	M_gsn_c@MODELID_222668	Guanosine		C10H13N5O5	1807178	C_c@MODELID_222668	CYTOSOL	2580208	gsn@MODELID_222668	SPECIE	
1807316	M_ethamp_c@MODELID_222668	Ethanolamine phosphate		C2H7NO4P	1807178	C_c@MODELID_222668	CYTOSOL	2580608	ethamp@MODELID_222668	SPECIE	
1807307	M_coa_m@MODELID_222668	Coenzyme A		C21H32N7O16P3S	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580297	coa@MODELID_222668	SPECIE	
1807306	M_coa_n@MODELID_222668	Coenzyme A		C21H32N7O16P3S	1807177	C_n@MODELID_222668	NUCLEUS	2580297	coa@MODELID_222668	SPECIE	
1807305	M_amob_c@MODELID_222668	S-Adenosyl-4-methylthio-2-oxobutanoate		C15H19N5O6S	1807178	C_c@MODELID_222668	CYTOSOL	2580524	amob@MODELID_222668	SPECIE	
1807304	M_acald_e@MODELID_222668	Acetaldehyde		C2H4O	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580650	acald@MODELID_222668	SPECIE	
1807311	M_pi_v@MODELID_222668	Phosphate		HO4P	1807182	C_v@MODELID_222668	VACUOLE	2580384	pi@MODELID_222668	SPECIE	
1807310	M_trnaasn_m@MODELID_222668	tRNA(Asn)		C10H17O10PR2	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580251	trnaasn@MODELID_222668	SPECIE	
1807309	M_acald_c@MODELID_222668	Acetaldehyde		C2H4O	1807178	C_c@MODELID_222668	CYTOSOL	2580650	acald@MODELID_222668	SPECIE	
1807308	M_acald_b@MODELID_222668	Acetaldehyde		C2H4O	1807180	C_e@MODELID_222668	BOUNDARY	2580650	acald@MODELID_222668	SPECIE	
1807299	M_10fthf_c@MODELID_222668	_10-Formyltetrahydrofolate		C20H21N7O7	1807178	C_c@MODELID_222668	CYTOSOL	2580481	10fthf@MODELID_222668	SPECIE	
1807298	M_achms_c@MODELID_222668	O-Acetyl-L-homoserine		C6H11NO4	1807178	C_c@MODELID_222668	CYTOSOL	2580237	achms@MODELID_222668	SPECIE	
1807297	M_saccrp_DASH_L_c@MODELID_222668	L-Saccharopine		C11H19N2O6	1807178	C_c@MODELID_222668	CYTOSOL	2580494	saccrp_DASH_L@MODELID_222668	SPECIE	
1807296	M_gthox_e@MODELID_222668	Oxidized glutathione		C20H30N6O12S2	1807180	C_e@MODELID_222668	EXTRACELLULAR	2580327	gthox@MODELID_222668	SPECIE	
1807303	M_pi_x@MODELID_222668	Phosphate		HO4P	1807183	C_x@MODELID_222668	PEROXISOME	2580384	pi@MODELID_222668	SPECIE	
1807302	M_acald_m@MODELID_222668	Acetaldehyde		C2H4O	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580650	acald@MODELID_222668	SPECIE	
1807301	M_10fthf_m@MODELID_222668	_10-Formyltetrahydrofolate		C20H21N7O7	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580481	10fthf@MODELID_222668	SPECIE	
1807300	M_coa_c@MODELID_222668	Coenzyme A		C21H32N7O16P3S	1807178	C_c@MODELID_222668	CYTOSOL	2580297	coa@MODELID_222668	SPECIE	
1807355	M_xan_b@MODELID_222668	Xanthine		C5H4N4O2	1807180	C_e@MODELID_222668	BOUNDARY	2580493	xan@MODELID_222668	SPECIE	
1807354	M_prbamp_c@MODELID_222668	_1-(5-Phosphoribosyl)-AMP		C15H19N5O14P2	1807178	C_c@MODELID_222668	CYTOSOL	2580503	prbamp@MODELID_222668	SPECIE	
1807353	M_pad_c@MODELID_222668	_2-Phenylacetamide		C8H9NO	1807178	C_c@MODELID_222668	CYTOSOL	2580138	pad@MODELID_222668	SPECIE	
1807352	M_4h2oglt_m@MODELID_222668	_4-Hydroxy-2-oxoglutarate		C5H4O6	1807176	C_m@MODELID_222668	MITOCHONDRIA	2580295	4h2oglt@MODELID_222668	SPECIE	
1807359	M_ac_c@MODELID_222668	Acetate		C2H3O2	1807178	C_c@MODELID_222668	CYTOSOL	2580065	ac@MODELID_222668	SPECIE	
1807358	M_xylu_DASH_D_c@MODELID_222668	D-Xylulose		C5H10O5	1807178	C_c@MODELID_222668	CYTOSOL	2580312	xylu_DASH_D@MODELID_222668	SPECIE	
1807357	M_xan_c@MODELID_222668	Xanthine		C5H4N4O2	1807178	C_c@MODELID_222668	CYTOSOL	2580493	xan@MODELID_222668	SPECIE	
1807356	M_camp_c@MODELID_222668	cAMP		C10H11N5O6P	1807178	C_c@MODELID_222668	CYTOSOL	2580501	camp@MODELID_222668	SPECIE	
1807347	M_4ppcys_c@MODELID_222668	N-((R)-4-Phosphopantothenoyl)-L-cysteine		C12H20N2O9PS	1807178	C_c@MODELID_222668	CYTOSOL	2580400	4ppcys@MODELID_222668	SPECIE	
1807346	M_ribflv_b@MODELID_222668	Riboflavin		C17H20N4O6	1807180	C_e@MODELID_222668	BOUNDARY	2580694	ribflv@MODELID_222668	SPECIE	
1807345	M_4mzym_int1_c@MODELID_222668	_4-Methylzymosterol intermediate 1		C29H46O3	1807178	C_c@MODELID_222668	CYTOSOL	2580381	4mzym_int1@MODELID_222668	SPECIE	
1807344	M_ribflv_c@MODELID_222668	Riboflavin		C17H20N4O6	1807178	C_c@MODELID_222668	CYTOSOL	2580694	ribflv@MODELID_222668	SPECIE	
1807351	M_4abz_c@MODELID_222668	_4-Aminobenzoate		C7H6NO2	1807178	C_c@MODELID_222668	CYTOSOL	2580675	4abz@MODELID_222668	SPECIE	
