Id	Entry	ScientificName	ParentId	Models
2844022	txid590	Salmonella	2804458	
2844023	txid83332	Mycobacterium tuberculosis H37Rv	2844024	2729705 2713544 3943134 2789426 3939125 2608696
2844024	txid1773	Mycobacterium tuberculosis	2844025	
2844025	txid77643	Mycobacterium tuberculosis complex	2844026	
2844026	txid1763	Mycobacterium	2844027	
2844027	txid1762	Mycobacteriaceae	2844028	
2844028	txid85007	Corynebacteriales	2844029	
2844029	txid1760	Actinobacteria	2844030	
2844030	txid201174	Actinobacteria	2804449	
2844031	txid269797	Methanosarcina barkeri str. Fusaro	2844032	4023913 1319409 2710303
2844032	txid2208	Methanosarcina barkeri	2804495	
2844033	txid1075088	Corynebacterium glutamicum S9114	2844034	2798834
2844034	txid1718	Corynebacterium glutamicum	2844035	3950793 3950794 3950795
2844035	txid1716	Corynebacterium	2844036	
2844036	txid1653	Corynebacteriaceae	2844028	
2844037	txid471876	Streptococcus pyogenes NZ131	2844038	2688223 3895653
2844038	txid301452	Streptococcus pyogenes serotype M49	2844039	
2844039	txid1314	Streptococcus pyogenes	2844040	
2844040	txid1301	Streptococcus	2844041	
2844041	txid1300	Streptococcaceae	2804475	
2844042	txid62977	Acinetobacter sp. ADP1	2844043	1492226 3831383
2844043	txid469	Acinetobacter	2844044	
2844044	txid468	Moraxellaceae	2844006	
2844045	txid272634	Mycoplasma pneumoniae M129	2844046	2690781 3937945
2844046	txid2104	Mycoplasma pneumoniae	2844047	
2844047	txid2093	Mycoplasma	2844048	
2844048	txid2092	Mycoplasmataceae	2844049	
2844049	txid2085	Mycoplasmatales	2844050	
2844050	txid31969	Mollicutes	2844051	
2844051	txid544448	Tenericutes	2804449	
2844052	txid242619	Porphyromonas gingivalis W83	2844053	4012296 2765404
2844053	txid837	Porphyromonas gingivalis	2844054	
2844054	txid836	Porphyromonas	2844055	
2844055	txid171551	Porphyromonadaceae	2844056	
2844056	txid171549	Bacteroidales	2844057	
2844057	txid200643	Bacteroidia	2843988	
2844058	txid203119	Ruminiclostridium thermocellum ATCC 27405	2844059	2760959 3923381
2844059	txid1515	Ruminiclostridium thermocellum	2844060	
2844060	txid1508657	Ruminiclostridium	2844061	
2844061	txid541000	Ruminococcaceae	2804450	
2844062	txid32049	Synechococcus sp. PCC 7002	2844063	3962973 2693856
2844063	txid1129	Synechococcus	2844064	
2844064	txid1890426	Synechococcaceae	2844065	
2844065	txid1890424	Synechococcales	2844014	
2844066	txid338969	Rhodoferax ferrireducens T118	2844067	3840026 2649507
2844067	txid192843	Rhodoferax ferrireducens	2844068	
2844068	txid28065	Rhodoferax	2844069	
2844069	txid80864	Comamonadaceae	2844070	
2844070	txid80840	Burkholderiales	2844071	
2844071	txid28216	Betaproteobacteria	2804461	
2844072	txid216591	Burkholderia cenocepacia J2315	2844073	3839893 2691414
2844073	txid95486	Burkholderia cenocepacia	2844074	3839931 3839932
2844074	txid87882	Burkholderia cepacia complex	2844075	
2844075	txid32008	Burkholderia	2844076	
2844076	txid119060	Burkholderiaceae	2844070	
2844077	txid100226	Streptomyces coelicolor A3(2)	2844078	2716649 2657247 2704597 3950898
2844078	txid1902	Streptomyces coelicolor	2844079	
2844079	txid1477431	Streptomyces albidoflavus group	2844080	
2844080	txid1883	Streptomyces	2844081	
2844081	txid2062	Streptomycetaceae	2844082	
2844082	txid85011	Streptomycetales	2844029	
2844083	txid262724	Thermus thermophilus HB27	2844084	4009745 2770406
2844084	txid274	Thermus thermophilus	2844085	
2844085	txid270	Thermus	2844086	
2844086	txid188786	Thermaceae	2844087	
2844087	txid68933	Thermales	2844088	
2844088	txid188787	Deinococci	2844089	
2844089	txid1297	Deinococcus-Thermus	2804449	
2844090	txid243231	Geobacter sulfurreducens PCA	2844091	2737395 3849703
2844091	txid35554	Geobacter sulfurreducens	2844092	
2844092	txid28231	Geobacter	2844093	
2844093	txid213422	Geobacteraceae	2844094	
2844094	txid69541	Desulfuromonadales	2844095	
2844095	txid28221	Deltaproteobacteria	2844096	
2844096	txid68525	delta/epsilon subdivisions	2804461	
2844097	txid255470	Dehalococcoides mccartyi CBDB1	2844098	4008198 2610300
2844098	txid61435	Dehalococcoides mccartyi	2844099	
2844099	txid61434	Dehalococcoides	2844100	
2844100	txid1202464	Dehalococcoidaceae	2844101	
2844101	txid1202465	Dehalococcoidales	2844102	
2844102	txid301297	Dehalococcoidia	2844103	
2844103	txid200795	Chloroflexi	2804449	
2844104	txid243164	Dehalococcoides mccartyi 195	2844098	4008197
2844105	txid216389	Dehalococcoides mccartyi BAV1	2844098	4009709
2844106	txid311424	Dehalococcoides mccartyi VS	2844098	4009710
2844107	txid269799	Geobacter metallireducens GS-15	2844108	3853416 4084330 2689375
2844108	txid28232	Geobacter metallireducens	2844092	
2902016	txid33342	Paraneoptera	2902017	
2902017	txid33340	Neoptera	2902018	
2902018	txid7496	Pterygota	2902019	
2902019	txid85512	Dicondylia	2902020	
2902020	txid50557	Insecta	2902021	
2902021	txid6960	Hexapoda	2902022	
2902022	txid197562	Pancrustacea	2902023	
2902023	txid197563	Mandibulata	2902024	
2902024	txid6656	Arthropoda	2902025	
2902025	txid88770	Panarthropoda	2902026	
2902026	txid1206794	Ecdysozoa	2902027	
2902027	txid33317	Protostomia	2804543	
2902028	txid267377	Methanococcus maripaludis S2	2902029	4017467 2720399 3651000
2902029	txid39152	Methanococcus maripaludis	2902030	
2902030	txid2184	Methanococcus	2902031	
2902031	txid2183	Methanococcaceae	2902032	
2902032	txid2182	Methanococcales	2902033	
2902033	txid183939	Methanococci	2804499	
2902034	txid160488	Pseudomonas putida KT2440	2902035	1492231 4126157 3817385 2782493 2682340 2684183
2902035	txid303	Pseudomonas putida	2902036	3823182
2902036	txid136845	Pseudomonas putida group	2844004	
2901994	txid264199	Streptococcus thermophilus LMG 18311	2901995	3897493 2732406
2901995	txid1308	Streptococcus thermophilus	2844040	3899388
2901996	txid566546	Escherichia coli W	2804503	2635022 3795589 3790708
2901997	txid107806	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	2901998	1492229 3809874 2760439
2901998	txid118099	Buchnera aphidicola (Acyrthosiphon pisum)	2901999	
2901999	txid9	Buchnera aphidicola	2902000	
2902000	txid32199	Buchnera	2902001	
2902001	txid1903409	Erwiniaceae	2804459	
2902002	txid379731	Pseudomonas stutzeri A1501	2902003	2743309 3823218
2902003	txid316	Pseudomonas stutzeri	2902004	3827430 3827431
2902004	txid578833	Pseudomonas stutzeri subgroup	2902005	
2902005	txid136846	Pseudomonas stutzeri group	2844004	
2902006	txid7029	Acyrthosiphon pisum	2902007	3785914
2902007	txid7028	Acyrthosiphon	2902008	
2902008	txid33386	Macrosiphini	2902009	
2902009	txid133076	Aphidinae	2902010	
2902010	txid27482	Aphididae	2902011	
2902011	txid33385	Aphidoidea	2902012	
2902012	txid143961	Aphidomorpha	2902013	
2902013	txid33380	Aphidiformes	2902014	
2902014	txid33373	Sternorrhyncha	2902015	
2902015	txid7524	Hemiptera	2902016	
2930752	txid1359	Lactococcus lactis subsp. cremoris	2930753	
2930753	txid1358	Lactococcus lactis	2930754	3895635
2930754	txid1357	Lactococcus	2844041	
2930755	txid459495	Arthrospira platensis C1	2930756	2603089
2930756	txid118562	Arthrospira platensis	2930757	
2930757	txid35823	Arthrospira	2930758	
2930758	txid1892252	Microcoleaceae	2844012	
2930759	txid1089545	Amycolatopsis balhimycina FH 1894	2930760	2768270
2930760	txid208443	Amycolatopsis balhimycina	2930761	
2930761	txid1813	Amycolatopsis	2930762	
2930762	txid2070	Pseudonocardiaceae	2930763	
2930763	txid85010	Pseudonocardiales	2844029	
2930764	txid1126218	Bacillus licheniformis WX-02	2930765	2762134
2930765	txid1402	Bacillus licheniformis	2804465	
2930766	txid1231376	Zymomonas mobilis subsp. mobilis ATCC 31822	2804488	
2930678	txid1140	Synechococcus elongatus PCC 7942	2930679	3960253 2803842 2756500
2930679	txid32046	Synechococcus elongatus	2844063	
2930680	txid43989	Cyanothece sp. ATCC 51142	2844010	2659149 2632704 3968295
2930681	txid63612	Sodalis glossinidius	2930682	2662415
2930682	txid84565	Sodalis	2930683	
2930683	txid1903410	Pectobacteriaceae	2804459	
2930684	txid85962	Helicobacter pylori 26695	2930685	3846249 2651132 4125115 3844693
2930685	txid210	Helicobacter pylori	2930686	
2930686	txid209	Helicobacter	2930687	
2930687	txid72293	Helicobacteraceae	2930688	
2930688	txid213849	Campylobacterales	2930689	
2930689	txid29547	Epsilonproteobacteria	2844096	
2930690	txid122586	Neisseria meningitidis MC58	2930691	2680058 3837698 2778406
2930691	txid491	Neisseria meningitidis serogroup B	2930692	
2930692	txid487	Neisseria meningitidis	2930693	3839815
2930693	txid482	Neisseria	2930694	
2930694	txid481	Neisseriaceae	2930695	
2930695	txid206351	Neisseriales	2844071	
2930696	txid158879	Staphylococcus aureus subsp. aureus N315	2930697	4128126 2797170 3892816
2930697	txid46170	Staphylococcus aureus subsp. aureus	2930698	
2930698	txid1280	Staphylococcus aureus	2930699	3893059 3893058
2930699	txid1279	Staphylococcus	2930700	
2930700	txid90964	Staphylococcaceae	2804468	
2930701	txid211586	Shewanella oneidensis MR-1	2930702	1492236 3834817
2930702	txid70863	Shewanella oneidensis	2930703	
2930703	txid22	Shewanella	2930704	
2930704	txid267890	Shewanellaceae	2804480	
2930705	txid216895	Vibrio vulnificus CMCP6	2930706	3812696 2779810
2930706	txid672	Vibrio vulnificus	2930707	3817271
2930707	txid662	Vibrio	2930708	
2930708	txid641	Vibrionaceae	2930709	
2930709	txid135623	Vibrionales	2804460	
2930710	txid220668	Lactobacillus plantarum WCFS1	2930711	2630072 3899455
2930711	txid1590	Lactobacillus plantarum	2804473	3902635
2930712	txid221988	Mannheimia succiniciproducens MBEL55E	2930713	3810122 2759747 2772000
2930713	txid157673	[Mannheimia] succiniciproducens	2930714	
2930714	txid697331	Basfia	2930715	
2930715	txid712	Pasteurellaceae	2930716	
2930716	txid135625	Pasteurellales	2804460	
2930717	txid224324	Aquifex aeolicus VF5	2930718	4015774 2740103
2930718	txid63363	Aquifex aeolicus	2930719	
2930719	txid2713	Aquifex	2930720	
2930720	txid64898	Aquificaceae	2930721	
2930721	txid32069	Aquificales	2930722	
2930722	txid187857	Aquificae	2930723	
2930723	txid200783	Aquificae	2804454	
2930724	txid226185	Enterococcus faecalis V583	2930725	2795821 3910708
2930725	txid1351	Enterococcus faecalis	2930726	
2930726	txid1350	Enterococcus	2930727	
2930727	txid81852	Enterococcaceae	2804475	
2930728	txid243273	Mycoplasma genitalium G37	2930729	3937415 1492235
2930729	txid2097	Mycoplasma genitalium	2844047	
2930730	txid272630	Methylobacterium extorquens AM1	2930731	3864893 2734814
2930731	txid408	Methylobacterium extorquens	2930732	
2930732	txid578822	Methylobacterium extorquens group	2930733	
2930733	txid407	Methylobacterium	2930734	
2930734	txid119045	Methylobacteriaceae	2930735	
2930735	txid356	Rhizobiales	2804486	
2930736	txid290402	Clostridium beijerinckii NCIMB 8052	2930737	3918108 2658772
2930737	txid1520	Clostridium beijerinckii	2804444	3923353
2930738	txid348780	Natronomonas pharaonis DSM 2160	2930739	2721570 4027825
2930739	txid2257	Natronomonas pharaonis	2930740	
2930740	txid63743	Natronomonas	2930741	
2930741	txid2236	Halobacteriaceae	2930742	
2930742	txid2235	Halobacteriales	2804551	
2930743	txid411481	Bifidobacterium adolescentis L2-32	2930744	2615567
2930744	txid1680	Bifidobacterium adolescentis	2930745	3960180 3960179
2930745	txid1678	Bifidobacterium	2930746	
2930746	txid31953	Bifidobacteriaceae	2930747	
2930747	txid85004	Bifidobacteriales	2844029	
2930748	txid411483	Faecalibacterium prausnitzii A2-165	2930749	2617777
2930749	txid853	Faecalibacterium prausnitzii	2930750	
2930750	txid216851	Faecalibacterium	2844061	
2930751	txid416870	Lactococcus lactis subsp. cremoris MG1363	2930752	2728267 3895612
2969402	txid343509	Sodalis glossinidius str. 'morsitans'	2930681	3809857
2972032	txid32033	Xanthomonadaceae	2972033	
2972033	txid135614	Xanthomonadales	2804460	
2972010	txid71421	Haemophilus influenzae Rd KW20	2972011	3810011 2648640
2972011	txid727	Haemophilus influenzae	2972012	3810106 3810107 3810105 3810108
2972012	txid724	Haemophilus	2930715	
2972013	txid398580	Dinoroseobacter shibae DFL 12 = DSM 16493	2972014	2624543 3871410
2972014	txid215813	Dinoroseobacter shibae	2972015	
2972015	txid309512	Dinoroseobacter	2804484	
2972016	txid272563	Clostridioides difficile 630	2972017	3926792 2723341 3930775
2972017	txid1496	Clostridioides difficile	2972018	3934702
2972018	txid1870884	Clostridioides	2972019	
2972019	txid186804	Peptostreptococcaceae	2804450	
2972020	txid264203	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	2804488	3878889 2783667 2761589
2972021	txid759362	Ketogulonicigenium vulgare WSH-001	2972022	3875656 2773410
2972022	txid92945	Ketogulonicigenium vulgare	2972023	
2972023	txid92944	Ketogulonicigenium	2804484	
2972024	txid509173	Acinetobacter baumannii AYE	2972025	2605494 3827471
2972025	txid470	Acinetobacter baumannii	2972026	3831375 3831378 3831376 3831377
2972026	txid909768	Acinetobacter calcoaceticus/baumannii complex	2844043	
2972027	txid196627	Corynebacterium glutamicum ATCC 13032	2844034	3947324 3947649 2800965 2801893
2972028	txid509169	Xanthomonas campestris pv. campestris str. B100	2972029	2758993
2972029	txid340	Xanthomonas campestris pv. campestris	2972030	3812629
2972030	txid339	Xanthomonas campestris	2972031	
2972031	txid338	Xanthomonas	2972032	
2989425	txid888845	Minicystis rosea	2989426	3864646
2989426	txid1649470	Minicystis	2989427	
2989427	txid215910	unclassified Sorangiineae	2989428	
2989428	txid80812	Sorangiineae	2989429	
2989429	txid29	Myxococcales	2844095	
2989430	txid1703962	Rhizobium sp. N1341	2989431	3864793
2989431	txid379	Rhizobium	2989432	
2989432	txid227290	Rhizobium/Agrobacterium group	2989433	
2989433	txid82115	Rhizobiaceae	2930735	
2989434	txid446470	Stackebrandtia nassauensis DSM 44728	2989435	3960155
2989435	txid283811	Stackebrandtia nassauensis	2989436	
2989436	txid283810	Stackebrandtia	2989437	
2989437	txid85034	Glycomycetaceae	2989438	
2989438	txid85014	Glycomycetales	2844029	
2989439	txid446468	Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	2989440	3951593
2989440	txid568208	Nocardiopsis dassonvillei subsp. dassonvillei	2989441	
2989441	txid2014	Nocardiopsis dassonvillei	2989442	
2989442	txid2013	Nocardiopsis	2989443	
2989443	txid83676	Nocardiopsaceae	2989444	
2989444	txid85012	Streptosporangiales	2844029	
2989445	txid446469	Sanguibacter keddieii DSM 10542	2989446	3951553
2989446	txid60920	Sanguibacter keddieii	2989447	
2989447	txid60919	Sanguibacter	2989448	
2989448	txid145360	Sanguibacteraceae	2989449	
2989449	txid85006	Micrococcales	2844029	
2989450	txid1855519	Sphingobium sp. EP60837	2989451	3882660
2989451	txid165695	Sphingobium	2804491	
2989452	txid446466	Cellulomonas flavigena DSM 20109	2989453	3951554
2989453	txid1711	Cellulomonas flavigena	2989454	
2989454	txid1707	Cellulomonas	2989455	
2989455	txid85016	Cellulomonadaceae	2989449	
2989456	txid36870	Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	2989457	3809965
2989457	txid51229	Wigglesworthia glossinidia	2989458	
2989458	txid51228	Wigglesworthia	2902001	
2989459	txid446465	Brachybacterium faecium DSM 4810	2989460	3951543
2989460	txid43669	Brachybacterium faecium	2989461	
2989461	txid43668	Brachybacterium	2989462	
2989462	txid85020	Dermabacteraceae	2989449	
2989463	txid1286170	Raoultella ornithinolytica B6	2989464	3805357
2989464	txid54291	Raoultella ornithinolytica	2989465	3805358
2989465	txid160674	Raoultella	2804458	
2989466	txid765952	Parachlamydia acanthamoebae UV-7	2989467	4012141
2989467	txid83552	Parachlamydia acanthamoebae	2989468	
2989468	txid83551	Parachlamydia	2989469	
2989469	txid92713	Parachlamydiaceae	2989470	
2989470	txid51291	Chlamydiales	2989471	
2989471	txid204429	Chlamydiia	2989472	
2989472	txid204428	Chlamydiae	2989473	
2989473	txid1783257	PVC group	2804454	
2989474	txid270351	Methylobacterium aquaticum	2930733	3871269
2989475	txid712710	Tannerella sp. oral taxon HOT-286	2989476	4014319
2989476	txid195950	Tannerella	2844055	
2989477	txid118797	Lipotes vexillifer	2989478	3785836
2989478	txid118796	Lipotes	2989479	
2989479	txid119500	Lipotidae	2989480	
2989480	txid9722	Odontoceti	2989481	
2989481	txid9721	Cetacea	2989482	
2989482	txid91561	Cetartiodactyla	2989483	
2989483	txid314145	Laurasiatheria	2804528	
2989484	txid172045	Elizabethkingia miricola	2989485	4014452
2989485	txid308865	Elizabethkingia	2989486	
2989486	txid49546	Flavobacteriaceae	2843986	
2989487	txid1421338	Enterobacter asburiae L1	2989488	3805280
2989488	txid61645	Enterobacter asburiae	2989489	
2989489	txid354276	Enterobacter cloacae complex	2989490	
2989490	txid547	Enterobacter	2804458	
2989491	txid4113	Solanum tuberosum	2989492	3785969
2989492	txid4107	Solanum	2989493	
2989493	txid424574	Solaneae	2989494	
2989494	txid424551	Solanoideae	2989495	
2989495	txid4070	Solanaceae	2989496	
2989496	txid4069	Solanales	2989497	
2989497	txid91888	lamiids	2989498	
2989498	txid71274	asterids	2804580	
2989499	txid1146883	Blastococcus saxobsidens DD2	2989500	3951606
2989500	txid138336	Blastococcus saxobsidens	2989501	
2989501	txid38501	Blastococcus	2989502	
2989502	txid85030	Geodermatophilaceae	2989503	
2989503	txid1643682	Geodermatophilales	2844029	
2989504	txid1208320	Thalassolituus oleivorans R6-15	2989505	3837659
2989505	txid187493	Thalassolituus oleivorans	2989506	
2989506	txid187492	Thalassolituus	2989507	
2989507	txid135620	Oceanospirillaceae	2989508	
2989508	txid135619	Oceanospirillales	2804460	
2989509	txid1208324	Celeribacter indicus	2989510	3878866
2989510	txid875170	Celeribacter	2804484	
2989511	txid266264	Cupriavidus metallidurans CH34	2989512	3839843
2989512	txid119219	Cupriavidus metallidurans	2989513	
2989513	txid106589	Cupriavidus	2844076	
2989514	txid266265	Paraburkholderia xenovorans LB400	2989515	3839964 3839965
2989515	txid36873	Paraburkholderia xenovorans	2989516	
2989516	txid1822464	Paraburkholderia	2844076	
2989517	txid1384459	Methyloceanibacter caenitepidi	2989518	3871294
2989518	txid1484898	Methyloceanibacter	2989519	
2989519	txid119042	unclassified Rhizobiales	2930735	
2989520	txid1335307	Burkholderia pseudomallei MSHR305	2989521	3839864
2989521	txid28450	Burkholderia pseudomallei	2989522	3839874
2989522	txid111527	pseudomallei group	2844075	
2989523	txid237609	Pseudomonas alkylphenolica	2844004	3827444
2989524	txid1196094	Snodgrassella alvi wkB2	2989525	3839821
2989525	txid1196083	Snodgrassella alvi	2989526	
